"""MaStR-Nr. der Einheit""";Anzeige-Name der Einheit;Bruttoleistung der Einheit;Nettonennleistung der Einheit;Inbetriebnahmedatum der Einheit;Registrierungsdatum der Einheit;Bundesland;Postleitzahl;Ort;Anzahl der Solar-Module;Hauptausrichtung der Solar-Module;Inbetriebnahmedatum der EEG-Anlage;Coords;Wetter-ID
SEE989219599935;Binnenfeld (Haus 4), 21077 Hamburg;17,28;17;05.12.2018;03.07.2019;Hamburg;21077;Hamburg;64.0;West;05.12.2018;[53.550341, 10.000654];4039
SEE906483624965;Hausdach Do 4-6;8,064;8,064;01.01.2000;07.08.2020;Hamburg;22587;Hamburg;28.0;SÃ¼d-West;01.01.2000;[53.5639997, 9.8092706];4039
SEE948730994698;III-00235-E-17;5,36;4,6;23.06.2017;03.07.2019;Hamburg;22309;Hamburg;17.0;SÃ¼d;23.06.2017;[53.550341, 10.000654];4039
SEE949005891070;Hausdach ABR 910999263488;3;3;22.04.2015;03.07.2019;Hamburg;22119;Hamburg;14.0;SÃ¼d;22.04.2015;[53.550341, 10.000654];4039
SEE981377362253;Ostwest;6,93;5;17.04.2019;05.07.2019;Hamburg;22417;Hamburg;22.0;West;17.04.2019;[53.6704119, 10.0270286];4039
SEE901834960174;Hausdach;2,32;2;05.03.2003;06.07.2019;Hamburg;22391;Hamburg;16.0;SÃ¼d;05.03.2003;[53.550341, 10.000654];4039
SEE944465158459;Neubau;6;5;17.05.2019;06.07.2019;Hamburg;22143;Hamburg;20.0;SÃ¼d-West;17.05.2019;[53.6065558, 10.1637302];4039
SEE941207563427;Azubi;7,68;3,3;28.06.2019;07.07.2019;Hamburg;22309;Hamburg;24.0;Ost-West;28.06.2019;[53.550341, 10.000654];4039
SEE904340118305;Flachdach PV-Anlage;9,75;9,75;28.06.2019;08.07.2019;Hamburg;22587;Hamburg;30.0;SÃ¼d;28.06.2019;[53.5639997, 9.8092706];4039
SEE954569844394;PV Hausdach;3,25;2,6;16.06.2014;08.07.2019;Hamburg;22339;Hamburg;13.0;SÃ¼d-West;16.06.2014;[53.550341, 10.000654];4039
SEE902110234682;Happy-Solaranlage;6,12;4,6;28.06.2019;08.07.2019;Hamburg;22417;Hamburg;18.0;Ost-West;28.06.2019;[53.6704119, 10.0270286];4039
SEE902967674846;Rauchhaus;5,88;5,88;15.10.2013;09.07.2019;Hamburg;21033;Hamburg;24.0;Ost-West;15.10.2013;[53.5010368, 10.1796657];4039
