KREIS;GEMEINDE;TYP;Modell;HERSTELLER;NABENHOEHE;ROTORDURCHMESSER;SCHALLLEISTUNGSPEGEL;LEISTUNG;LEISTUNGSBEZUG;OSTWERT (EPSG:4647);NORDWERT (EPSG:4647);GENEHMIGT_AM;INBETRIEBNAHME;STATUS;BST_NR;ANL_NR;DATENDATUM;DATENQUELLE;BETREIBER;Coords;Wetter-ID;Coords UTM;Distance UTM to old
HH;Dradenau;Nordex N100/2500;;Nordex;50.0;;;2500;kW Nennleist. Rotor.;32560514;5930784;;2010;;;;;;Hamburg Energie, Eurogate;[53.5255026, 9.8994663];1975;('53.522495382855794', '9.912777191480114');0,9441149321246463
HH;Dradenau;Nordex N100/2500;;Nordex;50.0;;;2500;kW Nennleist. Rotor.;32560514;5930784;;2010;;;;;;Hamburg Energie, Eurogate;[53.5255026, 9.8994663];1975;('53.522495382855794', '9.912777191480114');0,9441149321246463
HH;Francop;Micon M1500-600;;NEG Micon;50.0;;;600;kW Nennleist. Rotor.;32556363;5928198;;1991;;;;;;Plan 8;[53.5040949, 9.8776069];1975;('53.4997148362266', '9.849707391745797');1,9144079807650134
HH;Francop;Micon M1500-600;;NEG Micon;50.0;;;600;kW Nennleist. Rotor.;32556363;5928198;;1991;;;;;;Plan 8;[53.5040949, 9.8776069];1975;('53.4997148362266', '9.849707391745797');1,9144079807650134
HH;Francop;Micon M1500-600;;NEG Micon;50.0;;;600;kW Nennleist. Rotor.;32556363;5928198;;1991;;;;;;Plan 8;[53.5040949, 9.8776069];1975;('53.4997148362266', '9.849707391745797');1,9144079807650134
HH;Francop;Enercon E-40/5.40;;Enercon;50.0;;;500;kW Nennleist. Rotor.;32556363;5928198;;1996;;;;;;Plan 8;[53.5040949, 9.8776069];1975;('53.4997148362266', '9.849707391745797');1,9144079807650134
HH;Francop;Enercon E-40/5.40;;Enercon;50.0;;;500;kW Nennleist. Rotor.;32556363;5928198;;1996;;;;;;Plan 8;[53.5040949, 9.8776069];1975;('53.4997148362266', '9.849707391745797');1,9144079807650134
HH;Francop;Enercon E-40/5.40;;Enercon;50.0;;;500;kW Nennleist. Rotor.;32556363;5928198;;1996;;;;;;Plan 8;[53.5040949, 9.8776069];1975;('53.4997148362266', '9.849707391745797');1,9144079807650134
HH;Francop;Enercon E-40/6.44;;Enercon;50.0;;;600;kW Nennleist. Rotor.;32556363;5928198;;1998;;;;;;Plan 8;[53.5040949, 9.8776069];1975;('53.4997148362266', '9.849707391745797');1,9144079807650134
HH;Francop;Enercon E-40/6.44;;Enercon;50.0;;;600;kW Nennleist. Rotor.;32556363;5928198;;1998;;;;;;Plan 8;[53.5040949, 9.8776069];1975;('53.4997148362266', '9.849707391745797');1,9144079807650134
HH;Francop;Enercon E-40/6.44;;Enercon;50.0;;;600;kW Nennleist. Rotor.;32556363;5928198;;1998;;;;;;Plan 8;[53.5040949, 9.8776069];1975;('53.4997148362266', '9.849707391745797');1,9144079807650134
HH;Francop;Enercon E-40/6.44;;Enercon;50.0;;;600;kW Nennleist. Rotor.;32556363;5928198;;1998;;;;;;Plan 8;[53.5040949, 9.8776069];1975;('53.4997148362266', '9.849707391745797');1,9144079807650134
HH;Francop;Vestas V90-2MW;;Vestas;50.0;;;2000;kW Nennleist. Rotor.;32556363;5928198;;2013;;;;;;Plan 8;[53.5040949, 9.8776069];1975;('53.4997148362266', '9.849707391745797');1,9144079807650134
HH;Francop;Vestas V117-3.3MW;;Vestas;50.0;;;3300;kW Nennleist. Rotor.;32556363;5928198;;2018;;;;;;Plan 8;[53.5040949, 9.8776069];1975;('53.4997148362266', '9.849707391745797');1,9144079807650134
HH;Francop;Vestas V117-3.3MW;;Vestas;50.0;;;3300;kW Nennleist. Rotor.;32556363;5928198;;2018;;;;;;Plan 8;[53.5040949, 9.8776069];1975;('53.4997148362266', '9.849707391745797');1,9144079807650134
HH;Georgswerder;Enercon E-66/15.66;Enercon E-66/1500;Enercon;50.0;;;1500;kW Nennleist. Rotor.;32568378;5929531;;1998;;;;;;Hamburg Energie;[53.5063849, 10.0494435];1975;('53.51027016726727', '10.031102353611802');1,291408713933394
HH;Georgswerder;Repower MD77;;Repower;50.0;;;1500;kW Nennleist. Rotor.;32568378;5929531;;2004;;;;;;Hamburg Energie;[53.5063849, 10.0494435];1975;('53.51027016726727', '10.031102353611802');1,291408713933394
HH;Georgswerder;Repower 3.4M104;REpower 3.4M104;Repower;50.0;;;3400;kW Nennleist. Rotor.;32568378;5929531;;2011;;;;;;Hamburg Energie;[53.5063849, 10.0494435];1975;('53.51027016726727', '10.031102353611802');1,291408713933394
HH;Neuengamme;Tacke TW 600;Tacke TW 600;Tacke;50.0;;;600;kW Nennleist. Rotor.;32582106;5919890;;2000;;;;;;NET OHG;[53.4348616, 10.2210772];1975;('53.42166572865872', '10.235545718222841');1,7555053440831343
HH;Neuengamme;Enercon E-40/5.40;;Enercon;50.0;;;500;kW Nennleist. Rotor.;32582106;5919890;;2003;;;;;;NET OHG;[53.4348616, 10.2210772];1975;('53.42166572865872', '10.235545718222841');1,7555053440831343
HH;Neuengamme;Enercon E-92;;Enercon;50.0;;;2000;kW Nennleist. Rotor.;32582106;5919890;;2017;;;;;;NET OHG;[53.4348616, 10.2210772];1975;('53.42166572865872', '10.235545718222841');1,7555053440831343
HH;Neuengamme;Enercon E-92;;Enercon;50.0;;;2000;kW Nennleist. Rotor.;32582106;5919890;;2017;;;;;;NET OHG;[53.4348616, 10.2210772];1975;('53.42166572865872', '10.235545718222841');1,7555053440831343
HH;Neuengamme;Senvion MM100;;Senvion;50.0;;;2000;kW Nennleist. Rotor.;32582106;5919890;;2016;;;;;;NET OHG;[53.4348616, 10.2210772];1975;('53.42166572865872', '10.235545718222841');1,7555053440831343
HH;Neuengamme;Senvion MM100;;Senvion;50.0;;;2000;kW Nennleist. Rotor.;32582106;5919890;;2016;;;;;;NET OHG;[53.4348616, 10.2210772];1975;('53.42166572865872', '10.235545718222841');1,7555053440831343
HH;Neuengamme;Senvion MM100;;Senvion;50.0;;;2000;kW Nennleist. Rotor.;32582106;5919890;;2016;;;;;;NET OHG;[53.4348616, 10.2210772];1975;('53.42166572865872', '10.235545718222841');1,7555053440831343
HH;Neuengamme;Senvion MM100;;Senvion;50.0;;;2000;kW Nennleist. Rotor.;32582106;5919890;;2016;;;;;;NET OHG;[53.4348616, 10.2210772];1975;('53.42166572865872', '10.235545718222841');1,7555053440831343
HH;Neuland;Enercon E-40/5.40;;Enercon;50.0;;;500;kW Nennleist. Rotor.;32568015;5924024;;2003;;;;;;Naturstrom;[53.4681548, 10.0309606];1975;('53.46082444015285', '10.024436231362682');0,9237652650127447
HH;Neuland;Enercon E-40/5.40;;Enercon;50.0;;;500;kW Nennleist. Rotor.;32568015;5924024;;2003;;;;;;Naturstrom;[53.4681548, 10.0309606];1975;('53.46082444015285', '10.024436231362682');0,9237652650127447
HH;Neuland;Enercon E-40/5.40;;Enercon;50.0;;;500;kW Nennleist. Rotor.;32568015;5924024;;2003;;;;;;Naturstrom;[53.4681548, 10.0309606];1975;('53.46082444015285', '10.024436231362682');0,9237652650127447
HH;Neuland;Enercon E-40/5.40;;Enercon;50.0;;;500;kW Nennleist. Rotor.;32568015;5924024;;2003;;;;;;Naturstrom;[53.4681548, 10.0309606];1975;('53.46082444015285', '10.024436231362682');0,9237652650127447
HH;Ochsenwerder;NEG Micon NM48/600;;MNEG Micon;50.0;;;600;kW Nennleist. Rotor.;32572613;5923722;;1998;;;;;;NET OHG;[53.4752031, 10.0810767];1975;('53.45749658029901', '10.093607764278078');2,1391638578876973
HH;Ochsenwerder;NEG Micon NM48/600;;MNEG Micon;50.0;;;600;kW Nennleist. Rotor.;32572613;5923722;;1998;;;;;;NET OHG;[53.4752031, 10.0810767];1975;('53.45749658029901', '10.093607764278078');2,1391638578876973
HH;Ochsenwerder;Nordex N117/2400;Nordex N117/2400;Nordex;50.0;;;2400;kW Nennleist. Rotor.;32572613;5923722;;2018;;;;;;NET OHG;[53.4752031, 10.0810767];1975;('53.45749658029901', '10.093607764278078');2,1391638578876973
HH;Ochsenwerder;Nordex N117/2400;Nordex N117/2400;Nordex;50.0;;;2400;kW Nennleist. Rotor.;32572613;5923722;;2018;;;;;;NET OHG;[53.4752031, 10.0810767];1975;('53.45749658029901', '10.093607764278078');2,1391638578876973
HH;Ochsenwerder;Nordex N117/2400;Nordex N117/2400;Nordex;50.0;;;2400;kW Nennleist. Rotor.;32572613;5923722;;2018;;;;;;NET OHG;[53.4752031, 10.0810767];1975;('53.45749658029901', '10.093607764278078');2,1391638578876973
HH;Ochsenwerder;Nordex N117/2400;Nordex N117/2400;Nordex;50.0;;;2400;kW Nennleist. Rotor.;32572613;5923722;;2018;;;;;;NET OHG;[53.4752031, 10.0810767];1975;('53.45749658029901', '10.093607764278078');2,1391638578876973
HH;Trimet;Siemens SWT-3.0-113;Siemens SWT 3.0-113;Siemens;50.0;;;3000;kW Nennleist. Rotor.;32559370;5929410;;2016;;;;;;Notus Energy;[53.5127251, 9.8881836];1975;('53.51027696580495', '9.89526337544184');0,5429896344201219
HH;Trimet;Siemens SWT-3.0-113;Siemens SWT 3.0-113;Siemens;50.0;;;3000;kW Nennleist. Rotor.;32559370;5929410;;2016;;;;;;Notus Energy;[53.5127251, 9.8881836];1975;('53.51027696580495', '9.89526337544184');0,5429896344201219
HH;Trimet;Siemens SWT-3.0-113;Siemens SWT 3.0-113;Siemens;50.0;;;3000;kW Nennleist. Rotor.;32559370;5929410;;2016;;;;;;Notus Energy;[53.5127251, 9.8881836];1975;('53.51027696580495', '9.89526337544184');0,5429896344201219
HH;Waltershof;Nordex N117/3000;Nordex N117/3000;Nordex;50.0;;;3000;kW Nennleist. Rotor.;32559838;5930312;;2017;;;;;;Hamburg Energie;[53.5196541, 9.9109317];1975;('53.518330670574514', '9.902491817449414');0,5788651508013558
HH;Waltershof;Nordex N117/3000;Nordex N117/3000;Nordex;50.0;;;3000;kW Nennleist. Rotor.;32559838;5930312;;2017;;;;;;Hamburg Energie;[53.5196541, 9.9109317];1975;('53.518330670574514', '9.902491817449414');0,5788651508013558
HH;Waltershof;Nordex N117/3000;Nordex N117/3000;Nordex;50.0;;;3000;kW Nennleist. Rotor.;32559838;5930312;;2017;;;;;;Hamburg Energie;[53.5196541, 9.9109317];1975;('53.518330670574514', '9.902491817449414');0,5788651508013558
