Jahr;LeistungBisJahr;LeistungInJahr;Leistung;Wetter-ID;Bundesland
2020;41377,77299999973;4108,680000000005;45486,45299999974;1975;Hamburg
2020;127,16000000000001;0,0;127,16000000000001;4393;Schleswig-Holstein
