Jahr;LeistungBisJahr;LeistungInJahr;Leistung;Wetter-ID;Bundesland
2020;935838,58199998;24614,763499999874;960453,3454999799;4466;SH
2020;316203,51100000006;11936,99099999999;328140,50200000004;4393;SH
2020;382615,5999999919;19378,64449999992;401994,2444999918;1975;SH
