KREIS;GEMEINDE;TYP;Modell;HERSTELLER;NABENHOEHE;ROTORDURCHMESSER;SCHALLLEISTUNGSPEGEL;LEISTUNG;LEISTUNGSBEZUG;OSTWERT (EPSG:4647);NORDWERT (EPSG:4647);GENEHMIGT_AM;INBETRIEBNAHME;STATUS;BST_NR;ANL_NR;DATENDATUM;DATENQUELLE;BETREIBER;Coords;Wetter-ID
HH;Francop;Enercon E-40/6.44;;Enercon;;;;600;kW Nennleist. Rotor.;32556363;5928198;;1998;;;;;;Plan 8;[53.5040949, 9.8776069];1975
HH;Francop;Enercon E-40/6.44;;Enercon;;;;600;kW Nennleist. Rotor.;32556363;5928198;;1998;;;;;;Plan 8;[53.5040949, 9.8776069];1975
HH;Francop;Vestas V90-2MW;;Vestas;;;;2000;kW Nennleist. Rotor.;32556363;5928198;;2013;;;;;;Plan 8;[53.5040949, 9.8776069];1975
HH;Francop;Vestas V117-3.3MW;;Vestas;;;;3300;kW Nennleist. Rotor.;32556363;5928198;;2018;;;;;;Plan 8;[53.5040949, 9.8776069];1975
HH;Francop;Vestas V117-3.3MW;;Vestas;;;;3300;kW Nennleist. Rotor.;32556363;5928198;;2018;;;;;;Plan 8;[53.5040949, 9.8776069];1975
HH;Georgswerder;Enercon E-66/15.66;Enercon E-66/1500;Enercon;;;;1500;kW Nennleist. Rotor.;32568378;5929531;;1998;;;;;;Hamburg Energie;[53.5063849, 10.0494435];1975
HH;Georgswerder;Repower MD77;;Repower;;;;1500;kW Nennleist. Rotor.;32568378;5929531;;2004;;;;;;Hamburg Energie;[53.5063849, 10.0494435];1975
HH;Georgswerder;Repower 3.4M104;REpower 3.4M104;Repower;;;;3400;kW Nennleist. Rotor.;32568378;5929531;;2011;;;;;;Hamburg Energie;[53.5063849, 10.0494435];1975
HH;Neuengamme;Tacke TW 600;Tacke TW 600;Tacke;;;;600;kW Nennleist. Rotor.;32582106;5919890;;2000;;;;;;NET OHG;[53.4348616, 10.2210772];1975
HH;Neuengamme;Enercon E-40/5.40;;Enercon;;;;500;kW Nennleist. Rotor.;32582106;5919890;;2003;;;;;;NET OHG;[53.4348616, 10.2210772];1975
HH;Neuengamme;Enercon E-92;;Enercon;;;;2000;kW Nennleist. Rotor.;32582106;5919890;;2017;;;;;;NET OHG;[53.4348616, 10.2210772];1975
HH;Neuengamme;Enercon E-92;;Enercon;;;;2000;kW Nennleist. Rotor.;32582106;5919890;;2017;;;;;;NET OHG;[53.4348616, 10.2210772];1975
HH;Neuengamme;Senvion MM100;;Senvion;;;;2000;kW Nennleist. Rotor.;32582106;5919890;;2016;;;;;;NET OHG;[53.4348616, 10.2210772];1975
HH;Neuengamme;Senvion MM100;;Senvion;;;;2000;kW Nennleist. Rotor.;32582106;5919890;;2016;;;;;;NET OHG;[53.4348616, 10.2210772];1975
HH;Neuengamme;Senvion MM100;;Senvion;;;;2000;kW Nennleist. Rotor.;32582106;5919890;;2016;;;;;;NET OHG;[53.4348616, 10.2210772];1975
HH;Neuengamme;Senvion MM100;;Senvion;;;;2000;kW Nennleist. Rotor.;32582106;5919890;;2016;;;;;;NET OHG;[53.4348616, 10.2210772];1975
HH;Neuland;Enercon E-40/5.40;;Enercon;;;;500;kW Nennleist. Rotor.;32568015;5924024;;2003;;;;;;Naturstrom;[53.4681548, 10.0309606];1975
HH;Neuland;Enercon E-40/5.40;;Enercon;;;;500;kW Nennleist. Rotor.;32568015;5924024;;2003;;;;;;Naturstrom;[53.4681548, 10.0309606];1975
HH;Neuland;Enercon E-40/5.40;;Enercon;;;;500;kW Nennleist. Rotor.;32568015;5924024;;2003;;;;;;Naturstrom;[53.4681548, 10.0309606];1975
HH;Neuland;Enercon E-40/5.40;;Enercon;;;;500;kW Nennleist. Rotor.;32568015;5924024;;2003;;;;;;Naturstrom;[53.4681548, 10.0309606];1975
HH;Ochsenwerder;NEG Micon NM48/600;;MNEG Micon;;;;600;kW Nennleist. Rotor.;32572613;5923722;;1998;;;;;;NET OHG;[53.4752031, 10.0810767];1975
HH;Ochsenwerder;NEG Micon NM48/600;;MNEG Micon;;;;600;kW Nennleist. Rotor.;32572613;5923722;;1998;;;;;;NET OHG;[53.4752031, 10.0810767];1975
HH;Ochsenwerder;Nordex N117/2400;Nordex N117/2400;Nordex;;;;2400;kW Nennleist. Rotor.;32572613;5923722;;2018;;;;;;NET OHG;[53.4752031, 10.0810767];1975
HH;Ochsenwerder;Nordex N117/2400;Nordex N117/2400;Nordex;;;;2400;kW Nennleist. Rotor.;32572613;5923722;;2018;;;;;;NET OHG;[53.4752031, 10.0810767];1975
HH;Ochsenwerder;Nordex N117/2400;Nordex N117/2400;Nordex;;;;2400;kW Nennleist. Rotor.;32572613;5923722;;2018;;;;;;NET OHG;[53.4752031, 10.0810767];1975
HH;Ochsenwerder;Nordex N117/2400;Nordex N117/2400;Nordex;;;;2400;kW Nennleist. Rotor.;32572613;5923722;;2018;;;;;;NET OHG;[53.4752031, 10.0810767];1975
HH;Trimet;Siemens SWT-3.0-113;Siemens SWT 3.0-113;Siemens;;;;3000;kW Nennleist. Rotor.;32559370;5929410;;2016;;;;;;Notus Energy;[53.5127251, 9.8881836];1975
HH;Trimet;Siemens SWT-3.0-113;Siemens SWT 3.0-113;Siemens;;;;3000;kW Nennleist. Rotor.;32559370;5929410;;2016;;;;;;Notus Energy;[53.5127251, 9.8881836];1975
HH;Trimet;Siemens SWT-3.0-113;Siemens SWT 3.0-113;Siemens;;;;3000;kW Nennleist. Rotor.;32559370;5929410;;2016;;;;;;Notus Energy;[53.5127251, 9.8881836];1975
HH;Waltershof;Nordex N117/3000;Nordex N117/3000;Nordex;;;;3000;kW Nennleist. Rotor.;32559838;5930312;;2017;;;;;;Hamburg Energie;[53.5196541, 9.9109317];1975
HH;Waltershof;Nordex N117/3000;Nordex N117/3000;Nordex;;;;3000;kW Nennleist. Rotor.;32559838;5930312;;2017;;;;;;Hamburg Energie;[53.5196541, 9.9109317];1975
HH;Waltershof;Nordex N117/3000;Nordex N117/3000;Nordex;;;;3000;kW Nennleist. Rotor.;32559838;5930312;;2017;;;;;;Hamburg Energie;[53.5196541, 9.9109317];1975
