DatenName;Daten eingelesen;Daten Anzahl;Daten Richtig;Error Anzahl;Kein Datum;Error in Prozent;Kein Datum in Prozent
produkt_ff_stunde_19500101_20201231_01975.txt;True;8760;8760;0;0;0,0;1,0
produkt_ff_stunde_19580201_20201231_04466.txt;True;8760;8760;0;0;0,0;1,0
produkt_ff_stunde_19590101_20201231_02115.txt;True;8760;1078;7298;384;0,8331050228310503;0,1230593607305936
produkt_ff_stunde_19650101_20201231_00788.txt;True;8760;8755;1;4;0,00011415525114155251;0,9994292237442922
produkt_ff_stunde_19690101_20201231_02303.txt;True;8760;8597;29;134;0,003310502283105023;0,9813926940639269
produkt_ff_stunde_19690101_20201231_04393.txt;True;8760;8759;1;0;0,00011415525114155251;0,9998858447488584
produkt_ff_stunde_19710101_20201231_02907.txt;True;8760;8759;0;1;0,0;0,9998858447488584
produkt_ff_stunde_19710101_20201231_05078.txt;True;8760;8760;0;0;0,0;1,0
produkt_ff_stunde_19740101_20201231_02564.txt;True;8760;8748;1;11;0,00011415525114155251;0,9986301369863013
produkt_ff_stunde_19771001_20201231_04919.txt;True;8760;8715;0;45;0,0;0,9948630136986302
produkt_ff_stunde_19810801_20201231_05930.txt;True;8760;8759;1;0;0,00011415525114155251;0,9998858447488584
produkt_ff_stunde_19821201_20201231_01379.txt;True;8760;8757;0;3;0,0;0,9996575342465753
produkt_ff_stunde_19821201_20201231_04039.txt;True;8760;8689;29;42;0,003310502283105023;0,9918949771689498
produkt_ff_stunde_19850301_20201231_03086.txt;True;8760;8728;1;31;0,00011415525114155251;0,9963470319634703
produkt_ff_stunde_19880301_20201231_02429.txt;True;8760;8760;0;0;0,0;1,0
produkt_ff_stunde_20010627_20201231_06108.txt;True;8760;8758;1;1;0,00011415525114155251;0,9997716894977169
produkt_ff_stunde_20021201_20201231_06163.txt;True;8760;8760;0;0;0,0;1,0
produkt_ff_stunde_20060818_20201231_03897.txt;True;8760;8760;0;0;0,0;1,0
produkt_ff_stunde_20071120_20201231_01200.txt;True;8760;8760;0;0;0,0;1,0
produkt_ff_stunde_20200901_20201231_19171.txt;True;8760;0;0;8761;0,0;0,0
