STATIONS_ID;MESS_DATUM;QN_592;ATMO_LBERG;FD_LBERG;FG_LBERG;SD_LBERG;ZENIT;MESS_DATUM_WOZ;eor
       1975;2020022803:32;    1;  100.0;    0.0;    0.0;   0;   118.17;2020022804:00;eor
       1975;2020022804:32;    1;  104.0;    0.0;    0.0;   0;   109.83;2020022805:00;eor
       1975;2020022805:32;    1;  101.0;    0.0;    0.0;   0;   101.01;2020022806:00;eor
       1975;2020022806:32;    1;  102.0;    1.0;    1.0;   0;    92.15;2020022807:00;eor
       1975;2020022807:32;    1;   91.0;   15.0;   25.0;  21;    83.65;2020022808:00;eor
       1975;2020022808:32;    1;   94.0;   33.0;   69.0;  56;    75.90;2020022809:00;eor
       1975;2020022809:32;    1;   92.0;   40.0;  120.0;  44;    69.38;2020022810:00;eor
       1975;2020022810:32;    1;  100.0;   61.0;  114.0;  46;    64.59;2020022811:00;eor
       1975;2020022811:32;    1;  106.0;   82.0;  159.0;  33;    62.03;2020022812:00;eor
       1975;2020022812:32;    1;   -999;   59.0;  138.0;  44;    62.02;2020022813:00;eor
       1975;2020022813:32;    1;  100.0;   71.0;  161.0;  58;    64.55;2020022814:00;eor
       1975;2020022814:32;    1;  106.0;   64.0;  103.0;  42;    69.31;2020022815:00;eor
       1975;2020022815:32;    1;  102.0;   45.0;   64.0;  47;    75.81;2020022816:00;eor
       1975;2020022816:32;    1;   97.0;   16.0;   18.0;  15;    83.53;2020022817:00;eor
       1975;2020022817:32;    1;   98.0;    1.0;    1.0;   0;    92.01;2020022818:00;eor
       1975;2020022818:32;    1;  105.0;    0.0;    0.0;   0;   100.85;2020022819:00;eor
       1975;2020022819:32;    1;  108.0;    0.0;    0.0;   0;   109.64;2020022820:00;eor
       1975;2020022820:32;    1;  110.0;    0.0;    0.0;   0;   117.94;2020022821:00;eor
       1975;2020022821:32;    1;  113.0;    0.0;    0.0;   0;   125.23;2020022822:00;eor
       1975;2020022822:32;    1;  118.0;    0.0;    0.0;   0;   130.79;2020022823:00;eor
       1975;2020022823:32;    1;  116.0;    0.0;    0.0;   0;   133.85;2020022900:00;eor
       1975;2020022900:32;    1;  117.0;    0.0;    0.0;   0;   133.83;2020022901:00;eor
       1975;2020022901:32;    1;  117.0;    0.0;    0.0;   0;   130.74;2020022902:00;eor
       1975;2020022902:32;    1;  117.0;    0.0;    0.0;   0;   125.16;2020022903:00;eor
       1975;2020022903:32;    1;  118.0;    0.0;    0.0;   0;   117.85;2020022904:00;eor
       1975;2020022904:32;    1;  119.0;    0.0;    0.0;   0;   109.52;2020022905:00;eor
       1975;2020022905:32;    1;  120.0;    0.0;    0.0;   0;   100.71;2020022906:00;eor
       1975;2020022906:32;    1;  123.0;    0.0;    0.0;   0;    91.85;2020022907:00;eor
       1975;2020022907:32;    1;  125.0;    4.0;    4.0;   0;    83.33;2020022908:00;eor
       1975;2020022908:32;    1;  127.0;    9.0;    9.0;   0;    75.57;2020022909:00;eor
       1975;2020022909:32;    1;  125.0;   31.0;   31.0;   0;    69.03;2020022910:00;eor
       1975;2020022910:32;    1;  118.0;   70.0;   79.0;  12;    64.22;2020022911:00;eor
       1975;2020022911:32;    1;  112.0;   85.0;   93.0;   3;    61.66;2020022912:00;eor
       1975;2020022912:32;    1;  112.0;   83.0;   92.0;   4;    61.64;2020022913:00;eor
       1975;2020022913:32;    1;  108.0;   78.0;   97.0;  28;    64.18;2020022914:00;eor
       1975;2020022914:32;    1;  109.0;   72.0;  102.0;  43;    68.96;2020022915:00;eor
       1975;2020022915:32;    1;  111.0;   44.0;   53.0;  32;    75.47;2020022916:00;eor
       1975;2020022916:32;    1;  124.0;    7.0;    7.0;   0;    83.21;2020022917:00;eor
       1975;2020022917:32;    1;  125.0;    1.0;    1.0;   0;    91.71;2020022918:00;eor
       1975;2020022918:32;    1;  122.0;    0.0;    0.0;   0;   100.55;2020022919:00;eor
       1975;2020022919:32;    1;  105.0;    0.0;    0.0;   0;   109.33;2020022920:00;eor
       1975;2020022920:32;    1;   93.0;    0.0;    0.0;   0;   117.62;2020022921:00;eor
       1975;2020022921:32;    1;   91.0;    0.0;    0.0;   0;   124.89;2020022922:00;eor
       1975;2020022922:32;    1;   91.0;    0.0;    0.0;   0;   130.43;2020022923:00;eor
       1975;2020022923:32;    1;   93.0;    0.0;    0.0;   0;   133.47;2020030100:00;eor
       1975;2020030100:32;    1;  102.0;    0.0;    0.0;   0;   133.46;2020030101:00;eor
       1975;2020030101:32;    1;   96.0;    0.0;    0.0;   0;   130.38;2020030102:00;eor
       1975;2020030102:32;    1;   95.0;    0.0;    0.0;   0;   124.82;2020030103:00;eor
       1975;2020030103:32;    1;   91.0;    0.0;    0.0;   0;   117.53;2020030104:00;eor
       1975;2020030104:32;    1;   -999;    0.0;    0.0;   0;   109.21;2020030105:00;eor
       1975;2020030105:32;    1;  107.0;    0.0;    0.0;   0;   100.40;2020030106:00;eor
       1975;2020030106:32;    1;  102.0;    2.0;    2.0;   0;    91.54;2020030107:00;eor
       1975;2020030107:32;    1;  105.0;   18.0;   22.0;  29;    83.01;2020030108:00;eor
       1975;2020030108:32;    1;  117.0;   25.0;   25.0;   0;    75.24;2020030109:00;eor
       1975;2020030109:32;    1;  114.0;   48.0;   51.0;   1;    68.68;2020030110:00;eor
