ID;KreisPot;KreisVor;StadtPot;StadtVor;haPot;haVor;WKAPot;WKAVor
PR3_DIT_002;Dithmarschen;-;Lehe, Lunden, Schlichting, St. Annen;-;501,1;-;-;-
PR3_DIT_003;Dithmarschen;-;Kleve, Schlichting;-;380,1;-;-;-
PR3_DIT_005;Dithmarschen;-;Groven, Krempel, Rehm-Flehde-Bargen;-;135,8;-;-;-
PR3_DIT_006;Dithmarschen;-;Schlichting;-;78,5;-;-;-
PR3_DIT_007;Dithmarschen;Dithmarschen;Bergewöhrden, Delve, Hennstedt,Hollingstedt, Süderstapel;Hennstedt, Hollingstedt;716,9;115,1;WKA in Betrieb;WKA in Betrieb
PR3_DIT_008;Dithmarschen;Dithmarschen;Groven, Hemme;Groven, Hemme;98,2;98,2;WKA in Betrieb;WKA in Betrieb
PR3_DIT_009;Dithmarschen;Dithmarschen;Hemme, Karolinenkoog;Karolinenkoog;101,6;40,9;-;-
PR3_DIT_010;Dithmarschen;-;Tielenhemme;-;15,3;-;-;-
PR3_DIT_011;Dithmarschen;-;Pahlen;-;77,6;-;-;-
PR3_DIT_012;Dithmarschen;-;Tielenhemme;-;113,3;-;-;-
PR3_DIT_013;Dithmarschen;Dithmarschen;Hemme, Stelle-Wittenwurth;Hemme;111,9;92,3;-;-
PR3_DIT_015;Dithmarschen;Dithmarschen;Hemme, Karolinenkoog, Neuenkirchen,Strübbel;Hemme, Karolinenkoog, Strübbel;283,1;182,5;-;-
PR3_DIT_017;Dithmarschen;-;Dellstedt;-;56,4;-;-;-
PR3_DIT_018;Dithmarschen;Dithmarschen;Hemme, Neuenkirchen, Stelle-Wittenwurth,Strübbel;Hemme, Neuenkirchen, Stelle-Wittenwurth;288,2;248,0;-;-
PR3_DIT_019;Dithmarschen;-;Neuenkirchen;-;48,6;-;-;-
PR3_DIT_020;Dithmarschen;Dithmarschen;Norderheistedt, Ostrohe, Süderheistedt,Weddingstedt, Wiemerstedt;Norderheistedt, Süderheistedt,Wiemerstedt;372,8;87,9;-;-
PR3_DIT_021;Dithmarschen;Dithmarschen;Hemme, Stelle-Wittenwurth, Weddingstedt;Hemme, Stelle-Wittenwurth;166,0;86,0;-;-
PR3_DIT_023;Dithmarschen;Dithmarschen;Norddeich, Schülp, Wesselburenerkoog;Norddeich, Schülp,Wesselburenerkoog;135,7;133,5;WKA in Betrieb;WKA in Betrieb
PR3_DIT_025;Dithmarschen;Dithmarschen;Neuenkirchen, Oesterwurth, Schülp,Wesselburen;Neuenkirchen, Oesterwurth, Schülp,Wesselburen;386,2;246,2;WKA in Betrieb;WKA in Betrieb
PR3_DIT_028;Dithmarschen;Dithmarschen;Neuenkirchen;Neuenkirchen;189,8;87,8;-;-
PR3_DIT_031;Dithmarschen;Dithmarschen;Norddeich, Schülp;Norddeich, Schülp;141,8;141,8;WKA in Betrieb;WKA in Betrieb
PR3_DIT_032;Dithmarschen;-;Neuenkirchen, Oesterwurth;-;129,7;-;WKA in Betrieb;-
PR3_DIT_033;Dithmarschen;-;Süderdorf, Tellingstedt;-;21,1;-;-;-
PR3_DIT_038;Dithmarschen;-;Neuenkirchen, Norderwöhrden;-;60,1;-;-;-
PR3_DIT_039;Dithmarschen;Dithmarschen;Osterrade, Wrohm;Osterrade, Wrohm;159,3;141,4;WKA in Betrieb;WKA in Betrieb
PR3_DIT_040;Dithmarschen;Dithmarschen;Süderdorf, Tellingstedt;Süderdorf, Tellingstedt;107,4;102,0;WKA in Betrieb;WKA in Betrieb
PR3_DIT_041;Dithmarschen;-;Norderwöhrden, Oesterwurth;-;105,5;-;-;-
PR3_DIT_042;Dithmarschen;-;Norderwöhrden;-;35,4;-;-;-
PR3_DIT_043;Dithmarschen;Dithmarschen;Neuenkirchen, Norderwöhrden, Oesterwurth;Neuenkirchen, Norderwöhrden,Oesterwurth;342,3;342,3;WKA in Betrieb;WKA in Betrieb
PR3_DIT_044;Dithmarschen;Dithmarschen;Tellingstedt;Tellingstedt;59,0;25,2;WKA in Betrieb;WKA in Betrieb
PR3_DIT_045;Dithmarschen;Dithmarschen;Hedwigenkoog, Hellschen-Heringsand-Unterschaar;Hedwigenkoog, Hellschen-Heringsand-Unterschaar;158,4;158,4;WKA in Betrieb;WKA in Betrieb
PR3_DIT_046;Dithmarschen;Dithmarschen;Norderwöhrden, Oesterwurth,Wesselburener Deichhausen;Norderwöhrden, Oesterwurth,Wesselburener Deichhausen;128,3;128,3;-;-
PR3_DIT_047;Dithmarschen;Dithmarschen;Reinsbüttel, Süderdeich, WesselburenerDeichhausen;Reinsbüttel, Süderdeich,Wesselburener Deichhausen;121,0;121,0;WKA in Betrieb;WKA in Betrieb
PR3_DIT_049;Dithmarschen;Dithmarschen;Hedwigenkoog, Hellschen-Heringsand-Unterschaar, Reinsbüttel, Süderdeich;Hedwigenkoog, Hellschen-Heringsand-Unterschaar, Reinsbüttel, Süderdeich;221,2;221,2;-;-
PR3_DIT_051;Dithmarschen;Dithmarschen;Lohe-Rickelshof, Norderwöhrden, Wöhrden;Lohe-Rickelshof, Norderwöhrden,Wöhrden;90,9;90,9;WKA in Betrieb;WKA in Betrieb
PR3_DIT_055;Dithmarschen;-;Norderwöhrden, Wöhrden;-;40,1;-;-;-
PR3_DIT_058;Dithmarschen;Dithmarschen;Norderwöhrden, Wöhrden;Norderwöhrden, Wöhrden;210,8;210,8;-;-
PR3_DIT_059;Dithmarschen;Dithmarschen;Friedrichsgabekoog, Norderwöhrden,Wesselburener Deichhausen, Wöhrden;Norderwöhrden, WesselburenerDeichhausen, Wöhrden;127,5;104,1;WKA in Betrieb;WKA in Betrieb
PR3_DIT_063;Dithmarschen;Dithmarschen;Hemmingstedt, Lieth, Wöhrden;Hemmingstedt, Lieth, Wöhrden;175,7;175,7;-;-
PR3_DIT_066;Dithmarschen;Dithmarschen;Albersdorf, Arkebek, Tensbüttel-Röst;Albersdorf;186,5;56,1;-;-
