ID;KreisPot;KreisVor;StadtPot;StadtVor;haPot;haVor;WKAPot;WKAVor
PR2_RDE_059;Rendsburg-Eckernförde;-;Fockbek;-;30,3;-;-;-
PR2_RDE_060;Rendsburg-Eckernförde;Rendsburg-Eckernförde;Bredenbek, Haßmoor;Bredenbek, Haßmoor;93,0;85,7;-;-
PR2_RDE_061;Rendsburg-Eckernförde;Rendsburg-Eckernförde;Bredenbek, Haßmoor;Bredenbek, Haßmoor;53,8;19,8;-;-
PR2_RDE_062;Rendsburg-Eckernförde;-;Schacht-Audorf, Schülldorf;-;95,5;-;-;-
PR2_RDE_063;Rendsburg-Eckernförde;-;Westensee;-;128,3;-;-;-
PR2_RDE_064;Rendsburg-Eckernförde;Rendsburg-Eckernförde;Elsdorf-Westermühlen, Fockbek, Hohn;Elsdorf-Westermühlen, Fockbek, Hohn;478,3;256,4;-;-
PR2_RDE_065;Rendsburg-Eckernförde;-;Emkendorf, Haßmoor;-;35,3;-;-;-
PR2_RDE_066;Rendsburg-Eckernförde;-;Haßmoor;-;33,6;-;-;-
PR2_RDE_067;Rendsburg-Eckernförde;Rendsburg-Eckernförde;Schülldorf;Schülldorf;27,9;27,9;-;-
PR2_RDE_068;Rendsburg-Eckernförde;Rendsburg-Eckernförde;Haßmoor, Schülldorf;Schülldorf;112,8;36,6;-;-
PR2_RDE_069;Rendsburg-Eckernförde;-;Emkendorf;-;42,2;-;-;-
PR2_RDE_070;Rendsburg-Eckernförde;-;Boksee, Flintbek;-;75,3;-;-;-
PR2_RDE_071;Rendsburg-Eckernförde;-;Jevenstedt, Westerrönfeld;-;71,6;-;-;-
PR2_RDE_072;Rendsburg-Eckernförde;-;Elsdorf-Westermühlen, Fockbek, Nübbel,Schülp b. Rendsburg;-;750,4;-;-;-
PR2_RDE_073;Rendsburg-Eckernförde;-;Bargstall, Elsdorf-Westermühlen;-;49,8;-;-;-
PR2_RDE_074;Rendsburg-Eckernförde;Rendsburg-Eckernförde;Flintbek;Flintbek;55,8;19,3;-;-
PR2_RDE_075;Rendsburg-Eckernförde;Rendsburg-Eckernförde;Elsdorf-Westermühlen, Hamdorf;Elsdorf-Westermühlen, Hamdorf;94,3;88,3;WKA in Betrieb;WKA in Betrieb
PR2_RDE_077;Rendsburg-Eckernförde;Rendsburg-Eckernförde;Jevenstedt, Schülp b. Rendsburg;Jevenstedt, Schülp b. Rendsburg;97,8;38,6;-;-
PR2_RDE_078;Rendsburg-Eckernförde;-;Langwedel;-;43,8;-;-;-
PR2_RDE_080;Rendsburg-Eckernförde;Rendsburg-Eckernförde;Bokel, Emkendorf;Bokel, Emkendorf;132,2;111,7;-;-
PR2_RDE_082;Rendsburg-Eckernförde;Rendsburg-Eckernförde;Bokel, Emkendorf;Bokel, Emkendorf;30,3;30,3;-;-
PR2_RDE_083;Rendsburg-Eckernförde;Rendsburg-Eckernförde;Bokel, Jevenstedt;Bokel;68,1;35,2;-;-
PR2_RDE_084;Rendsburg-Eckernförde;-;Groß Vollstedt, Warder;-;79,2;-;-;-
PR2_RDE_085;Rendsburg-Eckernförde;-;Langwedel;-;16,2;-;-;-
PR2_RDE_086;Rendsburg-Eckernförde;Rendsburg-Eckernförde;Jevenstedt;Jevenstedt;99,7;80,5;-;-
PR2_RDE_087;Rendsburg-Eckernförde;Rendsburg-Eckernförde;Jevenstedt;Jevenstedt;59,9;59,9;-;-
PR2_RDE_088;Rendsburg-Eckernförde;-;Langwedel;-;67,8;-;-;-
PR2_RDE_089;Rendsburg-Eckernförde;-;Ellerdorf, Groß Vollstedt;-;35,3;-;-;-
PR2_RDE_090;Rendsburg-Eckernförde;Rendsburg-Eckernförde;Jevenstedt;Jevenstedt;72,7;31,0;-;-
PR2_RDE_092;Rendsburg-Eckernförde;-;Brammer, Jevenstedt;-;82,9;-;-;-
PR2_RDE_093;Rendsburg-Eckernförde;-;Jevenstedt, Luhnstedt;-;100,8;-;-;-
PR2_RDE_094;Rendsburg-Eckernförde;Rendsburg-Eckernförde;Bokel, Brammer, Ellerdorf;Bokel, Brammer, Ellerdorf;104,0;98,7;WKA in Betrieb;WKA in Betrieb
PR2_RDE_098;Rendsburg-Eckernförde;-;Dätgen;-;57,5;-;-;-
PR2_RDE_100;Rendsburg-Eckernförde;Rendsburg-Eckernförde;Ellerdorf, Nortorf;Ellerdorf, Nortorf;58,2;20,2;-;-
PR2_RDE_101;Rendsburg-Eckernförde;-;Bargstedt, Brammer;-;97,7;-;-;-
PR2_RDE_102;Rendsburg-Eckernförde;-;Borgdorf-Seedorf, Eisendorf, Nortorf;-;57,8;-;-;-
PR2_RDE_104;Rendsburg-Eckernförde;Rendsburg-Eckernförde;Bargstedt, Luhnstedt;Bargstedt, Luhnstedt;55,1;18,6;-;-
PR2_RDE_105;Rendsburg-Eckernförde;-;Luhnstedt, Stafstedt;-;36,5;-;-;-
PR2_RDE_106;Rendsburg-Eckernförde;Rendsburg-Eckernförde;Bissee, Groß Buchwald;Bissee, Groß Buchwald;86,0;61,0;-;-
PR2_RDE_107;Rendsburg-Eckernförde;-;Bargstedt, Nortorf;-;180,0;-;-;-
PR2_RDE_108;Rendsburg-Eckernförde;-;Borgdorf-Seedorf, Dätgen, Loop, Schönbek,Schülp b. Nortorf;-;140,1;-;-;-
PR2_RDE_109;Rendsburg-Eckernförde;-;Haale;-;29,4;-;-;-
PR2_RDE_110;Rendsburg-Eckernförde;-;Luhnstedt, Stafstedt;-;33,1;-;-;-
PR2_RDE_112;Rendsburg-Eckernförde;-;Brinjahe, Nienborstel, Stafstedt;-;25,9;-;-;-
PR2_RDE_114;Rendsburg-Eckernförde;Rendsburg-Eckernförde;Loop, Mühbrook, Schönbek;Loop, Schönbek;77,2;36,0;-;-
PR2_RDE_117;Rendsburg-Eckernförde;Rendsburg-Eckernförde;Loop, Schönbek;Loop;50,8;15,0;-;-
PR2_RDE_118;Rendsburg-Eckernförde;Rendsburg-Eckernförde;Groß Buchwald, Negenharrie;Groß Buchwald, Negenharrie;115,9;72,1;-;-
PR2_RDE_119;Rendsburg-Eckernförde;-;Krogaspe, Loop, Schülp b. Nortorf, Timmaspe;-;175,0;-;-;-
PR2_RDE_120;Rendsburg-Eckernförde;-;Bargstedt;-;28,3;-;-;-
PR2_RDE_121;Rendsburg-Eckernförde;Rendsburg-Eckernförde;Gnutz, Schülp b. Nortorf, Timmaspe;Gnutz, Schülp b. Nortorf, Timmaspe;49,8;42,5;WKA in Betrieb;WKA in Betrieb
PR2_RDE_122;Rendsburg-Eckernförde;Rendsburg-Eckernförde;Hanerau-Hademarschen, Oldenbüttel,Steenfeld;Hanerau-Hademarschen, Oldenbüttel,Steenfeld;143,2;143,2;WKA in Betrieb;WKA in Betrieb
PR2_RDE_123;Rendsburg-Eckernförde;-;Oldenhütten;-;48,0;-;-;-
PR2_RDE_124;Rendsburg-Eckernförde;-;Nienborstel, Nindorf, Remmels, Stafstedt;-;55,0;-;-;-
PR2_RDE_125;Rendsburg-Eckernförde;-;Bargstedt, Gnutz, Nortorf;-;157,5;-;-;-
PR2_RDE_126;Rendsburg-Eckernförde;Rendsburg-Eckernförde;Gnutz, Schülp b. Nortorf, Timmaspe;Gnutz, Schülp b. Nortorf, Timmaspe;89,7;85,9;-;-
PR2_RDE_127;Rendsburg-Eckernförde;-;Todenbüttel;-;90,7;-;-;-
PR2_RDE_128;Rendsburg-Eckernförde;-;Nindorf, Remmels;-;24,7;-;-;-
