ID;KreisPot;KreisVor;StadtPot;StadtVor;haPot;haVor;WKAPot;WKAVor
PR3_LAU_302;Herzogtum Lauenburg;-;Groß Sarau, Klempau, Pogeez;-;98,1;-;-;-
PR3_LAU_303;Herzogtum Lauenburg;-;Schönberg;-;22,1;-;-;-
PR3_LAU_304;Herzogtum Lauenburg;-;Schönberg;-;22,6;-;-;-
PR3_LAU_305;Herzogtum Lauenburg;-;Linau;-;21,5;-;-;-
PR3_LAU_306;Herzogtum Lauenburg;-;Fuhlenhagen, Talkau;-;24,2;-;-;-
PR3_LAU_307;Herzogtum Lauenburg;-;Fuhlenhagen, Schretstaken;-;31,1;-;-;-
PR3_LAU_308;Herzogtum Lauenburg;-;Basthorst, Hamfelde, Mühlenrade;-;28,9;-;-;-
PR3_LAU_309;Herzogtum Lauenburg;-;Kasseburg, Kuddewörde;-;98,3;-;-;-
PR3_LAU_310;Herzogtum Lauenburg;-;Basthorst, Kasseburg, Kuddewörde, Möhnsen;-;51,9;-;-;-
PR3_LAU_311;Herzogtum Lauenburg;-;Basthorst, Havekost, Möhnsen;-;95,8;-;-;-
PR3_LAU_312;Herzogtum Lauenburg;-;Kasseburg, Möhnsen;-;30,9;-;-;-
PR3_LAU_313;Herzogtum Lauenburg;-;Grove, Havekost;-;24,4;-;-;-
PR3_LAU_314;Herzogtum Lauenburg;-;Sahms;-;19,2;-;-;-
PR3_LAU_315;Herzogtum Lauenburg;-;Müssen;-;72,4;-;-;-
PR3_LAU_316;Herzogtum Lauenburg;-;Müssen;-;35,1;-;-;-
PR3_LAU_317;Herzogtum Lauenburg;-;Gülzow, Müssen;-;39,8;-;-;-
PR3_LAU_318;Herzogtum Lauenburg;-;Brunstorf;-;65,1;-;-;-
PR3_LAU_319;Herzogtum Lauenburg;-;Kollow;-;26,2;-;-;-
PR3_LAU_320;Herzogtum Lauenburg;-;Worth;-;43,6;-;-;-
PR3_LAU_402;Herzogtum Lauenburg;-;Groß Schenkenberg;-;19,4;-;-;-
PR3_LAU_403;Herzogtum Lauenburg;-;Geesthacht, Wiershop;-;27,9;-;-;-
PR3_LAU_404;Herzogtum Lauenburg;-;Krummesse, Lübeck, Hansestadt;-;67,0;-;-;-
PR3_LAU_501;Herzogtum Lauenburg;-;Krüzen;-;18,8;-;-;-
