ID;KreisPot;KreisVor;StadtPot;StadtVor;haPot;haVor;WKAPot;WKAVor
PR1_SLF_067;Schleswig-Flensburg;-;Grödersby, Rabenkirchen-Faulück;-;60,3;-;-;-
PR1_SLF_068;Schleswig-Flensburg;-;Janneby;-;37,1;-;-;-
PR1_SLF_069;Schleswig-Flensburg;Schleswig-Flensburg;Klappholz, Mittelangeln;Klappholz, Mittelangeln;20,7;20,7;WKA in Betrieb;WKA in Betrieb
PR1_SLF_070;Schleswig-Flensburg;Schleswig-Flensburg;Jörl, Löwenstedt, Sollwitt;Jörl, Löwenstedt, Sollwitt;119,3;37,2;-;-
PR1_SLF_071;Schleswig-Flensburg;-;Boren, Dollrottfeld;-;26,9;-;-;-
PR1_SLF_072;Schleswig-Flensburg;-;Brebel, Nottfeld, Süderbrarup;-;29,9;-;WKA in Betrieb;-
PR1_SLF_073;Schleswig-Flensburg;-;Struxdorf;-;31,8;-;-;-
PR1_SLF_074;Schleswig-Flensburg;Schleswig-Flensburg;Uelsby;Uelsby;27,4;19,7;-;-
PR1_SLF_075;Schleswig-Flensburg;Schleswig-Flensburg;Eggebek, Janneby;Janneby;197,6;122,0;-;-
PR1_SLF_076;Schleswig-Flensburg;-;Klappholz, Sieverstedt;-;89,6;-;-;-
PR1_SLF_077;Schleswig-Flensburg;-;Boren;-;33,4;-;-;-
PR1_SLF_078;Schleswig-Flensburg;Schleswig-Flensburg;Bollingstedt, Langstedt, Sieverstedt, Tarp;Langstedt, Sieverstedt, Tarp;312,6;123,7;-;-
PR1_SLF_080;Schleswig-Flensburg;Schleswig-Flensburg;Bollingstedt, Sieverstedt, Stolk;Sieverstedt, Stolk;147,9;90,5;-;-
PR1_SLF_081;Schleswig-Flensburg;Schleswig-Flensburg;Tolk, Twedt;Tolk, Twedt;72,2;72,2;WKA in Betrieb;WKA in Betrieb
PR1_SLF_082;Schleswig-Flensburg;-;Loit, Steinfeld;-;30,3;-;-;-
PR1_SLF_083;Schleswig-Flensburg;-;Jörl, Sollwitt, Süderhackstedt;-;127,8;-;-;-
PR1_SLF_084;Schleswig-Flensburg;-;Sollerup;-;17,2;-;-;-
PR1_SLF_085;Schleswig-Flensburg;Schleswig-Flensburg;Bollingstedt, Langstedt;Bollingstedt, Langstedt;29,0;29,0;WKA in Betrieb;WKA in Betrieb
PR1_SLF_086;Schleswig-Flensburg;-;Bollingstedt;-;36,2;-;-;-
PR1_SLF_087;Schleswig-Flensburg;Schleswig-Flensburg;Loit, Taarstedt;Loit, Taarstedt;42,1;21,5;-;-
PR1_SLF_088;Schleswig-Flensburg;-;Ulsnis;-;16,4;-;-;-
PR1_SLF_089;Schleswig-Flensburg;-;Bollingstedt;-;21,8;-;-;-
PR1_SLF_090;Schleswig-Flensburg;-;Bollingstedt, Langstedt;-;15,8;-;-;-
PR1_SLF_091;Schleswig-Flensburg;-;Bollingstedt;-;26,5;-;-;-
PR1_SLF_092;Schleswig-Flensburg;Schleswig-Flensburg;Bollingstedt, Silberstedt;Silberstedt;22,3;20,0;-;-
PR1_SLF_093;Schleswig-Flensburg;Schleswig-Flensburg;Silberstedt;Silberstedt;23,1;23,1;-;-
PR1_SLF_095;Schleswig-Flensburg;-;Schaalby, Taarstedt, Tolk, Twedt;-;59,8;-;-;-
PR1_SLF_096;Schleswig-Flensburg;-;Bollingstedt, Idstedt, Lürschau;-;49,4;-;-;-
PR1_SLF_097;Schleswig-Flensburg;-;Bollingstedt, Lürschau;-;42,6;-;-;-
PR1_SLF_099;Schleswig-Flensburg;-;Nübel, Schaalby;-;47,0;-;-;-
PR1_SLF_100;Schleswig-Flensburg;-;Brodersby, Goltoft, Taarstedt, Ulsnis;-;56,2;-;-;-
PR1_SLF_101;Schleswig-Flensburg;-;Jübek, Lürschau;-;21,1;-;-;-
PR1_SLF_102;Schleswig-Flensburg;Schleswig-Flensburg;Jübek, Silberstedt;Jübek, Silberstedt;299,2;130,4;WKA in Betrieb;WKA in Betrieb
PR1_SLF_103;Schleswig-Flensburg;Schleswig-Flensburg;Jübek, Schuby;Jübek, Schuby;55,8;55,8;WKA in Betrieb;WKA in Betrieb
PR1_SLF_105;Schleswig-Flensburg;Schleswig-Flensburg;Jübek, Lürschau, Schuby;Jübek, Lürschau, Schuby;57,2;57,2;WKA in Betrieb;WKA in Betrieb
PR1_SLF_106;Schleswig-Flensburg;Schleswig-Flensburg;Schuby, Silberstedt;Schuby, Silberstedt;140,9;137,0;WKA in Betrieb;WKA in Betrieb
PR1_SLF_108;Schleswig-Flensburg;-;Schuby;-;19,0;-;-;-
PR1_SLF_109;Schleswig-Flensburg;Schleswig-Flensburg;Ellingstedt, Schuby, Silberstedt;Ellingstedt, Schuby, Silberstedt;207,6;184,3;WKA in Betrieb;WKA in Betrieb
PR1_SLF_110;Schleswig-Flensburg;Schleswig-Flensburg;Börm, Klein Bennebek;Börm, Klein Bennebek;269,9;82,5;-;-
PR1_SLF_112;Schleswig-Flensburg;Schleswig-Flensburg;Alt Bennebek, Börm, Klein Bennebek;Börm, Klein Bennebek;263,5;48,5;-;-
PR1_SLF_114;Schleswig-Flensburg;Schleswig-Flensburg;Alt Bennebek, Klein Bennebek, Kropp;Alt Bennebek, Klein Bennebek;436,0;210,3;-;-
PR1_SLF_115;Schleswig-Flensburg;Schleswig-Flensburg;Kropp, Tetenhusen;Kropp, Tetenhusen;102,7;78,1;-;-
PR1_SLF_116;Schleswig-Flensburg;-;Alt Bennebek, Kropp, Tetenhusen;-;338,0;-;-;-
PR1_SLF_117;Schleswig-Flensburg;-;Süderstapel;-;20,8;-;-;-
PR1_SLF_118;Schleswig-Flensburg;-;Delve, Süderstapel;-;29,8;-;-;-
PR1_SLF_120;Schleswig-Flensburg;-;Erfde;-;18,3;-;-;-
PR1_SLF_121;Schleswig-Flensburg;-;Erfde, Tielen;-;151,5;-;-;-
PR1_SLF_122;Schleswig-Flensburg;-;Erfde, Tielen;-;58,8;-;-;-
PR1_SLF_123;Schleswig-Flensburg;-;Erfde;-;36,3;-;-;-
PR1_SLF_301;Schleswig-Flensburg;-;Böel;-;18,8;-;-;-
PR1_SLF_311;Schleswig-Flensburg;-;Hüsby, Schuby;-;151,8;-;-;-
PR1_SLF_313;Schleswig-Flensburg;-;Silberstedt;-;85,9;-;-;-
PR1_SLF_317;Schleswig-Flensburg;-;Erfde, Süderstapel;-;434,1;-;-;-
PR1_SLF_401;Schleswig-Flensburg;Schleswig-Flensburg;Bramstedtlund, Holt, Weesby;Bramstedtlund, Weesby;504,1;52,4;WKA in Betrieb;-
PR1_SLF_403;Schleswig-Flensburg;-;Silberstedt;-;24,0;-;-;-
PR1_SLF_404;Schleswig-Flensburg;-;Großsolt, Havetoft;-;71,0;-;-;-
PR1_SLF_405;Schleswig-Flensburg;-;Havetoft, Mittelangeln;-;28,6;-;-;-
PR1_SLF_406;Schleswig-Flensburg;-;Sörup;-;17,7;-;-;-
PR1_SLF_407;Schleswig-Flensburg;-;Steinberg, Steinbergkirche;-;20,4;-;-;-
PR1_SLF_408;Schleswig-Flensburg;-;Saustrup;-;17,0;-;-;-
PR1_SLF_409;Schleswig-Flensburg;-;Osterby;-;24,9;-;-;-
PR1_SLF_410;Schleswig-Flensburg;-;Niesgrau, Steinberg, Sterup;-;23,0;-;-;-
PR1_SLF_411;Schleswig-Flensburg;-;Grundhof, Sörup;-;22,5;-;-;-
PR1_SLF_501;Schleswig-Flensburg;Schleswig-Flensburg;Schnarup-Thumby;Schnarup-Thumby;50,1;21,2;-;-
