STATIONS_ID;MESS_DATUM;QN_3;   F;   D;eor
       1975;2018122323;   10;   2.7; 350;eor
       1975;2018122400;   10;   3.4;  10;eor
       1975;2018122401;   10;   3.8;  20;eor
       1975;2018122402;   10;   4.2;  10;eor
       1975;2018122403;   10;   4.4;  20;eor
       1975;2018122404;   10;   4.5;  10;eor
       1975;2018122405;   10;   4.0; 360;eor
       1975;2018122406;   10;   3.2; 350;eor
       1975;2018122407;   10;   2.9; 320;eor
       1975;2018122408;   10;   2.3; 300;eor
       1975;2018122409;   10;   3.3; 310;eor
       1975;2018122410;   10;   4.6; 320;eor
       1975;2018122411;   10;   3.9; 320;eor
       1975;2018122412;   10;   3.4; 280;eor
       1975;2018122413;   10;   4.3; 270;eor
       1975;2018122414;   10;   4.2; 260;eor
       1975;2018122415;   10;   4.2; 250;eor
       1975;2018122416;   10;   4.2; 260;eor
       1975;2018122417;   10;   3.8; 260;eor
       1975;2018122418;   10;   3.9; 260;eor
       1975;2018122419;   10;   3.6; 270;eor
       1975;2018122420;   10;   3.7; 270;eor
       1975;2018122421;   10;   3.1; 260;eor
       1975;2018122422;   10;   3.9; 260;eor
       1975;2018122423;   10;   3.4; 270;eor
       1975;2018122500;   10;   3.5; 260;eor
       1975;2018122501;   10;   3.9; 270;eor
       1975;2018122502;   10;   4.2; 260;eor
       1975;2018122503;   10;   4.1; 260;eor
       1975;2018122504;   10;   4.2; 260;eor
       1975;2018122505;   10;   4.7; 260;eor
       1975;2018122506;   10;   5.0; 270;eor
       1975;2018122507;   10;   5.2; 280;eor
       1975;2018122508;   10;   4.8; 270;eor
       1975;2018122509;   10;   5.7; 280;eor
       1975;2018122510;   10;   6.3; 280;eor
       1975;2018122511;   10;   6.1; 280;eor
       1975;2018122512;   10;   6.3; 280;eor
       1975;2018122513;   10;   6.5; 280;eor
       1975;2018122514;   10;   7.1; 280;eor
       1975;2018122515;   10;   7.0; 290;eor
       1975;2018122516;   10;   6.0; 280;eor
       1975;2018122517;   10;   5.7; 270;eor
       1975;2018122518;   10;   5.8; 270;eor
       1975;2018122519;   10;   5.7; 270;eor
       1975;2018122520;   10;   5.7; 270;eor
       1975;2018122521;   10;   6.5; 270;eor
       1975;2018122522;   10;   5.7; 260;eor
       1975;2018122523;   10;   5.8; 260;eor
       1975;2018122600;   10;   5.4; 260;eor
       1975;2018122601;   10;   5.6; 260;eor
       1975;2018122602;   10;   6.0; 260;eor
       1975;2018122603;   10;   5.8; 260;eor
       1975;2018122604;   10;   6.0; 260;eor
       1975;2018122605;   10;   5.7; 260;eor
       1975;2018122606;   10;   4.7; 260;eor
       1975;2018122607;   10;   5.0; 270;eor
       1975;2018122608;   10;   5.1; 270;eor
       1975;2018122609;   10;   5.2; 260;eor
       1975;2018122610;   10;   5.0; 270;eor
       1975;2018122611;   10;   4.8; 270;eor
       1975;2018122612;   10;   4.6; 280;eor
