STATIONS_ID;MESS_DATUM;QN_8;FX_911;eor
       4919;2020050800;    3;   5.6;eor
       4919;2020050801;    3;   5.9;eor
       4919;2020050802;    3;   6.1;eor
       4919;2020050803;    3;   6.4;eor
       4919;2020050804;    3;   6.3;eor
       4919;2020050805;    3;   5.9;eor
       4919;2020050806;    3;   6.8;eor
       4919;2020050807;    3;   6.5;eor
       4919;2020050808;    3;   7.6;eor
       4919;2020050809;    3;   7.8;eor
       4919;2020050810;    3;   8.4;eor
       4919;2020050811;    3;   8.6;eor
       4919;2020050812;    3;   8.9;eor
       4919;2020050813;    3;   9.1;eor
       4919;2020050814;    3;   9.0;eor
       4919;2020050815;    3;   7.9;eor
       4919;2020050816;    3;   7.9;eor
       4919;2020050817;    3;   6.0;eor
       4919;2020050818;    3;   5.6;eor
       4919;2020050819;    3;   4.5;eor
       4919;2020050820;    3;   4.0;eor
       4919;2020050821;    3;   3.6;eor
       4919;2020050822;    3;   3.1;eor
       4919;2020050823;    3;   3.1;eor
       4919;2020050900;    3;   3.7;eor
       4919;2020050901;    3;   3.9;eor
       4919;2020050902;    3;   5.3;eor
       4919;2020050903;    3;   7.6;eor
       4919;2020050904;    3;   4.9;eor
       4919;2020050905;    3;   3.0;eor
       4919;2020050906;    3;   3.5;eor
       4919;2020050907;    3;   4.7;eor
       4919;2020050908;    3;   5.1;eor
       4919;2020050909;    3;   6.7;eor
       4919;2020050910;    3;   7.0;eor
       4919;2020050911;    3;   5.5;eor
       4919;2020050912;    3;   5.3;eor
       4919;2020050913;    3;   5.0;eor
       4919;2020050914;    3;   5.1;eor
       4919;2020050915;    3;   4.2;eor
       4919;2020050916;    3;   4.3;eor
       4919;2020050917;    3;   4.4;eor
       4919;2020050918;    3;   4.6;eor
       4919;2020050919;    3;   5.2;eor
       4919;2020050920;    3;   5.1;eor
       4919;2020050921;    3;   3.9;eor
       4919;2020050922;    3;   4.1;eor
       4919;2020050923;    3;   2.5;eor
       4919;2020051000;    3;   3.6;eor
       4919;2020051001;    3;   2.9;eor
       4919;2020051002;    3;   2.9;eor
       4919;2020051003;    3;   3.2;eor
       4919;2020051004;    3;   3.1;eor
       4919;2020051005;    3;   3.2;eor
       4919;2020051006;    3;   2.6;eor
       4919;2020051007;    3;   2.5;eor
       4919;2020051008;    3;   5.1;eor
       4919;2020051009;    3;   4.3;eor
       4919;2020051010;    3;   9.1;eor
       4919;2020051011;    3;  12.1;eor
       4919;2020051012;    3;  14.7;eor
       4919;2020051013;    3;  15.0;eor
       4919;2020051014;    3;  16.4;eor
       4919;2020051015;    3;  17.2;eor
       4919;2020051016;    3;  18.2;eor
       4919;2020051017;    3;  19.0;eor
       4919;2020051018;    3;  18.1;eor
       4919;2020051019;    3;  18.1;eor
       4919;2020051020;    3;  17.6;eor
       4919;2020051021;    3;  17.0;eor
       4919;2020051022;    3;  17.9;eor
       4919;2020051023;    3;  17.5;eor
       4919;2020051100;    3;  15.5;eor
       4919;2020051101;    3;  15.2;eor
       4919;2020051102;    3;  15.5;eor
       4919;2020051103;    3;  15.2;eor
       4919;2020051104;    3;  15.0;eor
       4919;2020051105;    3;  15.3;eor
       4919;2020051106;    3;  13.2;eor
       4919;2020051107;    3;  15.2;eor
       4919;2020051108;    3;  14.8;eor
