Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
3086;Lübeck-Blankensee;F;06.09.1985-12:00;06.09.1985-14:00;3;;eor;                                                                                                                                      
3086;Lübeck-Blankensee;F;02.07.1996-19:00;02.07.1996-22:00;4;;eor;                                                                                                                                      
3086;Lübeck-Blankensee;F;03.07.1996-19:00;03.07.1996-21:00;3;;eor;                                                                                                                                      
3086;Lübeck-Blankensee;F;04.07.1996-20:00;04.07.1996-22:00;3;;eor;                                                                                                                                      
3086;Lübeck-Blankensee;F;05.07.1996-19:00;05.07.1996-22:00;4;;eor;                                                                                                                                      
3086;Lübeck-Blankensee;F;06.07.1996-19:00;06.07.1996-23:00;5;;eor;                                                                                                                                      
3086;Lübeck-Blankensee;F;07.07.1996-19:00;07.07.1996-21:00;3;;eor;                                                                                                                                      
3086;Lübeck-Blankensee;F;08.07.1996-19:00;08.07.1996-21:00;3;;eor;                                                                                                                                      
3086;Lübeck-Blankensee;F;09.07.1996-20:00;09.07.1996-21:00;2;;eor;                                                                                                                                      
3086;Lübeck-Blankensee;F;10.07.1996-20:00;10.07.1996-21:00;2;;eor;                                                                                                                                      
3086;Lübeck-Blankensee;F;11.07.1996-20:00;11.07.1996-21:00;2;;eor;                                                                                                                                      
3086;Lübeck-Blankensee;F;12.07.1996-20:00;12.07.1996-22:00;3;;eor;                                                                                                                                      
3086;Lübeck-Blankensee;F;22.01.1999-07:00;22.01.1999-07:00;1;;eor;                                                                                                                                      
3086;Lübeck-Blankensee;F;21.11.2001-13:00;22.11.2001-07:00;19;;eor;                                                                                                                                     
3086;Lübeck-Blankensee;F;01.06.2002-14:00;02.06.2002-05:00;16;;eor;                                                                                                                                     
3086;Lübeck-Blankensee;F;03.06.2002-00:00;03.06.2002-06:00;7;;eor;                                                                                                                                      
3086;Lübeck-Blankensee;F;03.06.2002-22:00;04.06.2002-09:00;12;;eor;                                                                                                                                     
3086;Lübeck-Blankensee;F;04.06.2002-20:00;04.06.2002-23:00;4;;eor;                                                                                                                                      
3086;Lübeck-Blankensee;F;05.06.2002-01:00;05.06.2002-06:00;6;;eor;                                                                                                                                      
3086;Lübeck-Blankensee;F;05.06.2002-19:00;05.06.2002-21:00;3;;eor;                                                                                                                                      
3086;Lübeck-Blankensee;F;05.06.2002-23:00;06.06.2002-10:00;12;;eor;                                                                                                                                     
3086;Lübeck-Blankensee;F;06.06.2002-21:00;09.06.2002-14:00;66;;eor;                                                                                                                                     
3086;Lübeck-Blankensee;F;09.06.2002-16:00;09.06.2002-18:00;3;;eor;                                                                                                                                      
3086;Lübeck-Blankensee;F;09.06.2002-20:00;10.06.2002-08:00;13;;eor;                                                                                                                                     
3086;Lübeck-Blankensee;F;10.06.2002-11:00;11.06.2002-06:00;20;;eor;                                                                                                                                     
3086;Lübeck-Blankensee;F;11.06.2002-10:00;13.06.2002-14:00;53;;eor;                                                                                                                                     
3086;Lübeck-Blankensee;F;13.06.2002-17:00;14.06.2002-11:00;19;;eor;                                                                                                                                     
3086;Lübeck-Blankensee;F;14.06.2002-13:00;16.06.2002-12:00;48;;eor;                                                                                                                                     
3086;Lübeck-Blankensee;F;16.06.2002-14:00;17.06.2002-10:00;21;;eor;                                                                                                                                     
3086;Lübeck-Blankensee;F;17.06.2002-22:00;18.06.2002-08:00;11;;eor;                                                                                                                                     
3086;Lübeck-Blankensee;F;18.06.2002-20:00;19.06.2002-03:00;8;;eor;                                                                                                                                      
3086;Lübeck-Blankensee;F;19.06.2002-06:00;20.06.2002-07:00;26;;eor;                                                                                                                                     
3086;Lübeck-Blankensee;F;22.10.2003-11:00;22.10.2003-11:00;1;;eor;                                                                                                                                      
3086;Lübeck-Blankensee;F;20.11.2003-11:00;20.11.2003-12:00;2;;eor;                                                                                                                                      
3086;Lübeck-Blankensee;F;17.02.2004-07:00;17.02.2004-07:00;1;;eor;                                                                                                                                      
3086;Lübeck-Blankensee;F;19.03.2004-10:00;19.03.2004-10:00;1;;eor;                                                                                                                                      
3086;Lübeck-Blankensee;F;25.05.2004-17:00;25.05.2004-17:00;1;;eor;                                                                                                                                      
3086;Lübeck-Blankensee;F;13.06.2004-02:00;13.06.2004-02:00;1;;eor;                                                                                                                                      
3086;Lübeck-Blankensee;F;26.06.2004-00:00;28.06.2004-07:00;56;;eor;                                                                                                                                     
