STATIONS_ID;MESS_DATUM;QN_3;   F;   D;eor
      19171;2020090100;   10;   1.1;  10;eor
      19171;2020090101;   10;   1.3;  30;eor
      19171;2020090102;   10;   0.9; 360;eor
      19171;2020090103;   10;   1.0; 340;eor
      19171;2020090104;   10;   0.7; 350;eor
      19171;2020090105;   10;   0.8; 360;eor
      19171;2020090106;   10;   0.8;  40;eor
      19171;2020090107;   10;   1.2; 360;eor
      19171;2020090108;   10;   1.5;  10;eor
      19171;2020090109;   10;   2.7;  40;eor
      19171;2020090110;   10;   3.3;  50;eor
      19171;2020090111;   10;   4.0;  40;eor
      19171;2020090112;   10;   4.2;  20;eor
      19171;2020090113;   10;   3.9;  40;eor
      19171;2020090114;   10;   3.3;  40;eor
      19171;2020090115;   10;   3.1;  30;eor
      19171;2020090116;   10;   3.6;  20;eor
      19171;2020090117;   10;   3.8;  30;eor
      19171;2020090118;   10;   2.5;  30;eor
      19171;2020090119;   10;   1.4;  20;eor
      19171;2020090120;   10;   1.0; 360;eor
      19171;2020090121;   10;   0.9; 340;eor
      19171;2020090122;   10;   0.7; 340;eor
      19171;2020090123;   10;   0.7; 330;eor
      19171;2020090200;   10;   0.7; 330;eor
      19171;2020090201;   10;   1.1; 360;eor
      19171;2020090202;   10;   1.0; 330;eor
      19171;2020090203;   10;   1.2; 350;eor
      19171;2020090204;   10;   0.8; 320;eor
      19171;2020090205;   10;   1.0; 330;eor
      19171;2020090206;   10;   1.0; 340;eor
      19171;2020090207;   10;   0.9; 350;eor
      19171;2020090208;   10;   1.3;  10;eor
      19171;2020090209;   10;   1.6; 350;eor
      19171;2020090210;   10;   3.0;  10;eor
      19171;2020090211;   10;   3.6; 350;eor
      19171;2020090212;   10;   3.6; 360;eor
      19171;2020090213;   10;   3.3; 340;eor
      19171;2020090214;   10;   3.1; 360;eor
      19171;2020090215;   10;   3.1; 360;eor
      19171;2020090216;   10;   2.9; 360;eor
      19171;2020090217;   10;   2.8; 360;eor
      19171;2020090218;   10;   1.7; 360;eor
      19171;2020090219;   10;   0.7; 310;eor
      19171;2020090220;   10;   0.3; 220;eor
      19171;2020090221;   10;   0.2; 330;eor
      19171;2020090222;   10;   1.0; 240;eor
      19171;2020090223;   10;   0.6; 180;eor
      19171;2020090300;   10;   0.5; 230;eor
      19171;2020090301;   10;   0.4; 230;eor
      19171;2020090302;   10;   0.4; 200;eor
      19171;2020090303;   10;   0.8; 190;eor
      19171;2020090304;   10;   0.6; 170;eor
      19171;2020090305;   10;   0.6; 190;eor
      19171;2020090306;   10;   0.6; 170;eor
      19171;2020090307;   10;   0.8; 190;eor
      19171;2020090308;   10;   1.3; 200;eor
      19171;2020090309;   10;   2.2; 190;eor
      19171;2020090310;   10;   2.5; 200;eor
      19171;2020090311;   10;   2.7; 220;eor
      19171;2020090312;   10;   2.2; 220;eor
      19171;2020090313;   10;   2.5; 200;eor
      19171;2020090314;   10;   3.1; 190;eor
      19171;2020090315;   10;   3.1; 190;eor
      19171;2020090316;   10;   4.3; 180;eor
      19171;2020090317;   10;   4.2; 180;eor
      19171;2020090318;   10;   4.0; 180;eor
      19171;2020090319;   10;   3.7; 190;eor
      19171;2020090320;   10;   3.2; 190;eor
      19171;2020090321;   10;   2.7; 200;eor
      19171;2020090322;   10;   2.4; 200;eor
      19171;2020090323;   10;   2.1; 200;eor
      19171;2020090400;   10;   1.7; 220;eor
      19171;2020090401;   10;   1.9; 250;eor
      19171;2020090402;   10;   1.3; 230;eor
      19171;2020090403;   10;   1.3; 220;eor
      19171;2020090404;   10;   1.6; 220;eor
      19171;2020090405;   10;   1.8; 210;eor
      19171;2020090406;   10;   2.2; 220;eor
      19171;2020090407;   10;   1.8; 220;eor
      19171;2020090408;   10;   1.9; 220;eor
      19171;2020090409;   10;   2.3; 230;eor
      19171;2020090410;   10;   3.1; 240;eor
      19171;2020090411;   10;   3.2; 240;eor
      19171;2020090412;   10;   3.1; 250;eor
      19171;2020090413;   10;   3.0; 240;eor
      19171;2020090414;   10;   3.2; 250;eor
      19171;2020090415;   10;   2.7; 270;eor
      19171;2020090416;   10;   2.4; 290;eor
      19171;2020090417;   10;   2.6; 280;eor
      19171;2020090418;   10;   1.3; 270;eor
      19171;2020090419;   10;   0.9; 230;eor
      19171;2020090420;   10;   0.9; 210;eor
      19171;2020090421;   10;   1.0; 180;eor
      19171;2020090422;   10;   1.4; 180;eor
      19171;2020090423;   10;   1.2; 200;eor
      19171;2020090500;   10;   1.2; 220;eor
      19171;2020090501;   10;   1.2; 210;eor
      19171;2020090502;   10;   1.4; 220;eor
      19171;2020090503;   10;   1.1; 210;eor
      19171;2020090504;   10;   1.9; 270;eor
      19171;2020090505;   10;   1.2; 210;eor
