STATIONS_ID;MESS_DATUM;QN_8;FX_911;eor
       2100;2019111600;    3;   6.9;eor
       2100;2019111601;    3;   5.7;eor
       2100;2019111602;    3;   4.8;eor
       2100;2019111603;    3;   3.7;eor
       2100;2019111604;    3;   3.7;eor
       2100;2019111605;    3;   3.1;eor
       2100;2019111606;    3;   1.5;eor
       2100;2019111607;    3;   1.5;eor
       2100;2019111608;    3;   6.4;eor
       2100;2019111609;    3;   7.4;eor
       2100;2019111610;    3;   8.6;eor
       2100;2019111611;    3;   8.9;eor
       2100;2019111612;    3;   9.2;eor
       2100;2019111613;    3;   9.2;eor
       2100;2019111614;    3;  13.3;eor
       2100;2019111615;    3;  17.6;eor
       2100;2019111616;    3;  17.7;eor
       2100;2019111617;    3;  17.0;eor
       2100;2019111618;    3;  17.2;eor
       2100;2019111619;    3;  17.7;eor
       2100;2019111620;    3;  17.9;eor
       2100;2019111621;    3;  17.1;eor
       2100;2019111622;    3;  18.1;eor
       2100;2019111623;    3;  17.2;eor
