Datum;Erzeugung_Wind;Erzeugung_PV;Erzeugung_Gesamt;Diff_EE_zu_Verb;Verbrauch_Gesamt;Verbrauch_HH;Verbrauch_SH;EE_Anteil;EE>100%;EE>75%;EE>60%;EE>50%;EE>45%;EE<45%
2019-01-01 00:00:00;5512222;0,0;5512222,0;3823336,246391;1688885,7536089998;1090334,0;598551,7536089999;3,2638217169046913;True;True;True;True;True;True
2019-01-01 01:00:00;5345638;0,0;5345638,0;3716069,6676700003;1629568,33233;1070679,0;558889,3323299999;3,2804012534759224;True;True;True;True;True;True
2019-01-01 02:00:00;5172669;0,0;5172669,0;3637588,811426299;1535080,1885737;1020787,0;514293,1885736999;3,3696409076884226;True;True;True;True;True;True
2019-01-01 03:00:00;5221430;0,0;5221430,0;3745457,283807801;1475972,7161922;985772,0;490200,7161922;3,537619593315079;True;True;True;True;True;True
2019-01-01 04:00:00;5216765;0,0;5216765,0;3756599,2688702;1460165,7311298;976324,3;483841,43112979986;3,5727211567713892;True;True;True;True;True;True
2019-01-01 05:00:00;5556608;0,0;5556608,0;4088593,7603894006;1468014,2396105998;974496,8;493517,4396105999;3,785118597673771;True;True;True;True;True;True
2019-01-01 06:00:00;5652089;0,0;5652089,0;4150363,2486097;1501725,7513902998;1002808,0;498917,7513902999;3,763729159446914;True;True;True;True;True;True
2019-01-01 07:00:00;6094817;0,0;6094817,0;4533712,718509;1561104,281491;1045799,0;515305,2814909999;3,9041703185765932;True;True;True;True;True;True
2019-01-01 08:00:00;6285393;0,0;6285393,0;4661254,457369;1624138,5426309998;1073990,0;550148,5426309999;3,869985740143859;True;True;True;True;True;True
2019-01-01 09:00:00;5961422;10339,582797879957;5971761,58279788;4293693,823487881;1678067,75931;1080612,0;597455,75931;3,558713019582352;True;True;True;True;True;True
2019-01-01 10:00:00;5793685;56985,03751827403;5850670,037518274;4103644,5251752734;1747025,512343;1101555,0;645470,5123429999;3,348932225764536;True;True;True;True;True;True
2019-01-01 11:00:00;5892693;97775,4390981345;5990468,439098135;4140368,7002531346;1850099,738845;1158187,0;691912,7388450002;3,237916482728617;True;True;True;True;True;True
2019-01-01 12:00:00;6008652;137194,47292397436;6145846,4729239745;4230273,702840975;1915572,770083;1203561,0;712011,7700830001;3,208359697375361;True;True;True;True;True;True
2019-01-01 13:00:00;5790303;99380,08429276149;5889683,084292761;3929614,8860257603;1960068,1982669998;1240926,0;719142,1982669999;3,004835795764729;True;True;True;True;True;True
2019-01-01 14:00:00;5563997;101162,20515624828;5665159,205156248;3690856,2530322485;1974302,952124;1251397,0;722905,9521240002;2,8694477709520427;True;True;True;True;True;True
2019-01-01 15:00:00;5596276;31782,342163742207;5628058,3421637425;3605099,6902717426;2022958,651892;1273147,0;749811,6518920001;2,7820926230499192;True;True;True;True;True;True
2019-01-01 16:00:00;5481945;8870,850254934074;5490815,850254934;3367979,661600935;2122836,188654;1301411,0;821425,1886540002;2,586547129543909;True;True;True;True;True;True
2019-01-01 17:00:00;5633974;0,0;5633974,0;3359849,7136859996;2274124,286314;1358452,0;915672,2863139998;2,477425721147277;True;True;True;True;True;True
