ID;KreisPot;KreisVor;StadtPot;StadtVor;haPot;haVor;WKAPot;WKAVor;Coords Pot;Coords Vor;Wetter-ID_Head;besetze Fläche;freieVor in ha
PR3_DIT_044;Dithmarschen;Dithmarschen;Tellingstedt;Tellingstedt;59,0;25,2;WKA in Betrieb;WKA in Betrieb;[54.2199228, 9.280779];[54.2199228, 9.280779];2303;0,0;25,2
PR3_DIT_045;Dithmarschen;Dithmarschen;Hedwigenkoog,Hellschen-Heringsand-Unterschaar;Hedwigenkoog,Hellschen-Heringsand-Unterschaar;158,4;158,4;WKA in Betrieb;WKA in Betrieb;[54.19165, 8.85];[54.19165, 8.85];788;47,893;110,507
PR3_DIT_046;Dithmarschen;Dithmarschen;NorderwÃ¶hrden,Oesterwurth,Wesselburener Deichhausen;NorderwÃ¶hrden,Oesterwurth,Wesselburener Deichhausen;128,3;128,3;-;-;[54.1971987, 8.9793682];[54.1971987, 8.9793682];788;0,0;128,3
PR3_DIT_047;Dithmarschen;Dithmarschen;ReinsbÃ¼ttel,SÃ¼derdeich,WesselburenerDeichhausen;ReinsbÃ¼ttel,SÃ¼derdeich,Wesselburener Deichhausen;121,0;121,0;WKA in Betrieb;WKA in Betrieb;[54.1899551, 8.9107361];[54.1849355, 8.9198589];788;90,678;30,322000000000003
PR3_DIT_049;Dithmarschen;Dithmarschen;Hedwigenkoog,Hellschen-Heringsand-Unterschaar,ReinsbÃ¼ttel,SÃ¼derdeich;Hedwigenkoog,Hellschen-Heringsand-Unterschaar,ReinsbÃ¼ttel,SÃ¼derdeich;221,2;221,2;-;-;[54.1908026, 8.880368];[54.1908026, 8.880368];788;0,0;221,2
PR3_DIT_051;Dithmarschen;Dithmarschen;Lohe-Rickelshof,NorderwÃ¶hrden,WÃ¶hrden;Lohe-Rickelshof,NorderwÃ¶hrden,WÃ¶hrden;90,9;90,9;WKA in Betrieb;WKA in Betrieb;[54.1848129, 9.0280665];[54.1848129, 9.0280665];1200;218,196;-127,29599999999999
PR3_DIT_055;Dithmarschen;-;NorderwÃ¶hrden,WÃ¶hrden;-;40,1;0,0;-;-;[54.18335, 9.008335];[0, 0];788;0,0;0,0
PR3_DIT_058;Dithmarschen;Dithmarschen;NorderwÃ¶hrden,WÃ¶hrden;NorderwÃ¶hrden,WÃ¶hrden;210,8;210,8;-;-;[54.18335, 9.008335];[54.18335, 9.008335];788;0,0;210,8
PR3_DIT_059;Dithmarschen;Dithmarschen;Friedrichsgabekoog,NorderwÃ¶hrden,Wesselburener Deichhausen,WÃ¶hrden;NorderwÃ¶hrden,WesselburenerDeichhausen,WÃ¶hrden;127,5;104,1;WKA in Betrieb;WKA in Betrieb;[54.1738349, 8.9728119];[54.18335, 9.008335];788;159,596;-55,49600000000001
PR3_DIT_063;Dithmarschen;Dithmarschen;Hemmingstedt,Lieth,WÃ¶hrden;Hemmingstedt,Lieth,WÃ¶hrden;175,7;175,7;-;-;[54.1575769, 9.047794];[54.1575769, 9.047794];1200;0,0;175,7
PR3_DIT_066;Dithmarschen;Dithmarschen;Albersdorf,Arkebek,TensbÃ¼ttel-RÃ¶st;Albersdorf;186,5;56,1;-;-;[54.1423296, 9.2576434];[54.1458092, 9.285792];4039;0,0;56,1
PR3_DIT_067;Dithmarschen;Dithmarschen;Nordermeldorf,WÃ¶hrden;Nordermeldorf;97,0;76,1;-;-;[54.1417925, 9.0093881];[54.1168851, 9.0187761];1200;0,0;76,1
PR3_DIT_068;Dithmarschen;Dithmarschen;EpenwÃ¶hrden,Hemmingstedt,Nordermeldorf;EpenwÃ¶hrden,Nordermeldorf;43,2;39,4;-;-;[54.125952, 9.0511613];[54.1136063, 9.0354269];1200;0,0;39,4
PR3_DIT_069;Dithmarschen;-;Nordermeldorf;-;17,9;0,0;-;-;[54.1168851, 9.0187761];[0, 0];1200;0,0;0,0
PR3_DIT_070;Dithmarschen;-;EpenwÃ¶hrden;-;35,7;0,0;-;-;[54.1103274, 9.0520778];[0, 0];1200;0,0;0,0
PR3_DIT_071;Dithmarschen;Dithmarschen;Nordermeldorf;Nordermeldorf;73,1;47,5;-;-;[54.1168851, 9.0187761];[54.1168851, 9.0187761];1200;0,0;47,5
PR3_DIT_073;Dithmarschen;Dithmarschen;Albersdorf,Schafstedt,TensbÃ¼ttel-RÃ¶st;Albersdorf,Schafstedt,TensbÃ¼ttel-RÃ¶st;145,0;100,5;WKA in Betrieb;WKA in Betrieb;[54.1158414, 9.2737759];[54.1158414, 9.2737759];4039;75,264;25,236000000000004
PR3_DIT_081;Dithmarschen;-;ElpersbÃ¼ttel;-;30,1;0,0;-;-;[54.0733317, 9.0450158];[0, 0];1200;0,0;0,0
PR3_DIT_082;Dithmarschen;-;Eggstedt;-;14,2;0,0;-;-;[54.0522854, 9.2615007];[0, 0];4039;0,0;0,0
PR3_DIT_083;Dithmarschen;Dithmarschen;Eggstedt,SÃ¼derhastedt;Eggstedt,SÃ¼derhastedt;228,3;164,5;WKA in Betrieb;WKA in Betrieb;[54.0519456, 9.2352605];[54.0519456, 9.2352605];4039;38,988;125,512
PR3_DIT_084;Dithmarschen;-;Busenwurth,ElpersbÃ¼ttel;-;257,3;0,0;-;-;[54.0559092, 9.0416263];[0, 0];1200;0,0;0,0
PR3_DIT_089;Dithmarschen;Dithmarschen;Barlt,Busenwurth,Gudendorf;Barlt,Busenwurth,Gudendorf;138,7;98,4;-;-;[54.0254652, 9.0675956];[54.0254652, 9.0675956];1200;0,0;98,4
PR3_DIT_091;Dithmarschen;Dithmarschen;Barlt,Trennewurth;Barlt,Trennewurth;98,0;72,3;-;-;[54.0062202, 9.0438523];[54.0062202, 9.0438523];1200;0,0;72,3
PR3_DIT_095;Dithmarschen;Dithmarschen;Barlt,St. Michaelisdonn,Volsemenhusen;Barlt,St. Michaelisdonn,Volsemenhusen;514,8;459,6;-;-;[53.987382, 9.0790694];[53.987382, 9.0790694];4039;0,0;459,6
PR3_DIT_096;Dithmarschen;Dithmarschen;Helse,Trennewurth;Helse,Trennewurth;97,2;97,2;WKA in Betrieb;WKA in Betrieb;[53.9881179, 9.0215716];[53.9881179, 9.0215716];1200;197,585;-100,385
PR3_DIT_097;Dithmarschen;Dithmarschen;Helse,Trennewurth,Volsemenhusen;Helse,Trennewurth,Volsemenhusen;142,4;142,4;WKA in Betrieb;WKA in Betrieb;[53.9808803, 9.035708];[53.9808803, 9.035708];1200;140,558;1,842000000000013
PR3_DIT_100;Dithmarschen;Dithmarschen;Kronprinzenkoog;Kronprinzenkoog;76,6;76,6;WKA in Betrieb;WKA in Betrieb;[53.9708971, 8.9609516];[53.9708971, 8.9609516];1200;30,246;46,354
PR3_DIT_102;Dithmarschen;Dithmarschen;Dingen,Eddelak,Volsemenhusen;Dingen,Volsemenhusen;193,0;191,2;WKA in Betrieb;WKA in Betrieb;[53.9570703, 9.111269];[53.962312, 9.0970229];4039;105,12;86,07999999999998
PR3_DIT_103;Dithmarschen;Dithmarschen;Diekhusen-Fahrstedt,Marne,Volsemenhusen;Diekhusen-Fahrstedt,Marne,Volsemenhusen;45,3;36,9;-;-;[53.9546792, 9.0317175];[53.9546792, 9.0317175];1200;0,0;36,9
