Datum;Erzeugung_Wind;Erzeugung_PV;Erzeugung_Gesamt;Diff_EE_zu_Verb;Verbrauch_Gesamt;Verbrauch_HH;Verbrauch_SH;EE_Anteil;EE>100%;EE>75%;EE>60%;EE>50%;EE>45%;EE<45%
2019-01-01 00:00:00;6071582;0,0;6071582,0;4382696,246391;1688885,7536089998;1090334,0;598551,7536089999;3,5950223317507204;True;True;True;True;True;True
2019-01-01 01:00:00;5870636;0,0;5870636,0;4241067,66767;1629568,33233;1070679,0;558889,3323299999;3,6025712352951835;True;True;True;True;True;True
2019-01-01 02:00:00;5628571;0,0;5628571,0;4093490,811426299;1535080,1885737;1020787,0;514293,1885736999;3,6666299532076634;True;True;True;True;True;True
2019-01-01 03:00:00;5565177;0,0;5565177,0;4089204,283807801;1475972,7161922;985772,0;490200,7161922;3,770514819784318;True;True;True;True;True;True
2019-01-01 04:00:00;5532995;0,0;5532995,0;4072829,2688702;1460165,7311298;976324,3;483841,43112979986;3,789292463204747;True;True;True;True;True;True
2019-01-01 05:00:00;5887391;0,0;5887391,0;4419376,760389401;1468014,2396105998;974496,8;493517,4396105999;4,010445431075429;True;True;True;True;True;True
2019-01-01 06:00:00;6025986;0,0;6025986,0;4524260,248609699;1501725,7513902998;1002808,0;498917,7513902999;4,012707376444156;True;True;True;True;True;True
2019-01-01 07:00:00;6386642;0,0;6386642,0;4825537,718509;1561104,281491;1045799,0;515305,2814909999;4,091105300089346;True;True;True;True;True;True
2019-01-01 08:00:00;6497301;0,0;6497301,0;4873162,457369;1624138,5426309998;1073990,0;550148,5426309999;4,000459831139029;True;True;True;True;True;True
2019-01-01 09:00:00;6293523;10339,582797879957;6303862,58279788;4625794,823487881;1678067,75931;1080612,0;597455,75931;3,7566198074087005;True;True;True;True;True;True
2019-01-01 10:00:00;6029440;56985,03751827403;6086425,037518274;4339399,525175273;1747025,512343;1101555,0;645470,5123429999;3,48387873818485;True;True;True;True;True;True
2019-01-01 11:00:00;6013629;97775,4390981345;6111404,439098135;4261304,700253135;1850099,738845;1158187,0;691912,7388450002;3,303283769400145;True;True;True;True;True;True
2019-01-01 12:00:00;6109129;137194,47292397436;6246323,4729239745;4330750,702840975;1915572,770083;1203561,0;712011,7700830001;3,2608124162536143;True;True;True;True;True;True
2019-01-01 13:00:00;5782667;99380,08429276149;5882047,084292761;3921978,8860257603;1960068,1982669998;1240926,0;719142,1982669999;3,000940012951278;True;True;True;True;True;True
2019-01-01 14:00:00;5600502;101162,20515624828;5701664,205156248;3727361,2530322485;1974302,952124;1251397,0;722905,9521240002;2,8879378410604457;True;True;True;True;True;True
2019-01-01 15:00:00;5593977;31782,342163742207;5625759,3421637425;3602800,6902717426;2022958,651892;1273147,0;749811,6518920001;2,780956168778919;True;True;True;True;True;True
2019-01-01 16:00:00;5488009;8870,850254934074;5496879,850254934;3374043,661600935;2122836,188654;1301411,0;821425,1886540002;2,5894036853311198;True;True;True;True;True;True
2019-01-01 17:00:00;5612572;0,0;5612572,0;3338447,7136859996;2274124,286314;1358452,0;915672,2863139998;2,4680146260154943;True;True;True;True;True;True
2019-01-01 18:00:00;5751457;0,0;5751457,0;3429018,938215;2322438,061785;1389632,0;932806,061785;2,4764737947756053;True;True;True;True;True;True
2019-01-01 19:00:00;5583981;0,0;5583981,0;3347884,887187999;2236096,112812;1350870,0;885226,112812;2,4972007991990424;True;True;True;True;True;True
2019-01-01 20:00:00;5582726;0,0;5582726,0;3472920,722711;2109805,2772890003;1300169,0;809636,2772890001;2,646085901905383;True;True;True;True;True;True
2019-01-01 21:00:00;5587792;0,0;5587792,0;3572120,0903749997;2015671,9096250003;1261356,0;754315,9096250002;2,7721733747034083;True;True;True;True;True;True
2019-01-01 22:00:00;5761052;0,0;5761052,0;3840935,586105;1920116,4138950002;1228755,0;691361,4138950002;3,0003659977644666;True;True;True;True;True;True
2019-01-01 23:00:00;5645086;0,0;5645086,0;3871995,559963;1773090,4400370002;1164394,0;608696,4400370002;3,1837552515833316;True;True;True;True;True;True
2019-01-02 00:00:00;5957258;0,0;5957258,0;4306464,2805526;1650793,7194474;1094467,0;556326,7194473998;3,608723446073068;True;True;True;True;True;True
2019-01-02 01:00:00;5844189;0,0;5844189,0;4282364,4674954;1561824,5325046;1042364,0;519460,53250460007;3,7418985797514925;True;True;True;True;True;True
2019-01-02 02:00:00;5919654;0,0;5919654,0;4418462,5580947995;1501191,4419052;997553,0;503638,4419051999;3,9433038550281214;True;True;True;True;True;True
2019-01-02 03:00:00;6186571;0,0;6186571,0;4687260,987086199;1499310,0129138;990811,5;508498,5129138;4,126278719353609;True;True;True;True;True;True
2019-01-02 04:00:00;6105072;0,0;6105072,0;4555307,9082929995;1549764,091707;1013747,0;536017,091707;3,9393556946306063;True;True;True;True;True;True
2019-01-02 05:00:00;5946207;0,0;5946207,0;4274343,934109;1671863,065891;1067906,0;603957,0658910001;3,5566351822187285;True;True;True;True;True;True
2019-01-02 06:00:00;6124213;0,0;6124213,0;4210009,149922;1914203,8500779998;1189829,0;724374,8500779996;3,1993525662120312;True;True;True;True;True;True
2019-01-02 07:00:00;6069988;0,0;6069988,0;3899186,7453329996;2170801,254667;1330749,0;840052,2546669997;2,796197020316875;True;True;True;True;True;True
2019-01-02 08:00:00;5871130;0,0;5871130,0;3517754,3870610003;2353375,612939;1425885,0;927490,6129389999;2,4947696269648487;True;True;True;True;True;True
2019-01-02 09:00:00;5946770;19053,73889254358;5965823,738892543;3553269,485578544;2412554,2533139996;1465716,0;946838,2533139997;2,472824696355576;True;True;True;True;True;True
2019-01-02 10:00:00;6082308;93897,77894736701;6176205,778947367;3725887,976863368;2450317,8020840003;1521326,0;928991,8020840003;2,520573361420504;True;True;True;True;True;True
2019-01-02 11:00:00;6237521;172031,6424067956;6409552,642406795;3946789,708817796;2462762,9335890003;1544281,0;918481,9335890001;2,6025861259273197;True;True;True;True;True;True
