ID;KreisPot;KreisVor;StadtPot;StadtVor;haPot;haVor
PR3_OHS_306;Ostholstein;-;Bad Schwartau, Stockelsdorf;-;18,7;-
PR3_OHS_401;Ostholstein;-;Ahrensbök, Wensin;-;37,1;-
PR3_OHS_402;Ostholstein;-;Ahrensbök;-;13,5;-
PR3_OHS_403;Ostholstein;-;Altenkrempe;-;172,0;-
PR3_OHS_405;Ostholstein;-;Grömitz;-;232,2;-
PR3_OHS_406;Ostholstein;Ostholstein;Grömitz, Grube, Riepsdorf;Grömitz, Grube;51,5;21,5
PR3_OHS_408;Ostholstein;-;Wangels;-;16,6;-
PR3_OHS_409;Ostholstein;-;Gremersdorf;-;67,8;-
PR3_OHS_420;Ostholstein;Ostholstein;Fehmarn;Fehmarn;185,5;121,5
PR3_OHS_421;Ostholstein;-;Fehmarn;-;95,1;-
PR3_OHS_501;Ostholstein;-;Fehmarn;-;21,7;-
PR3_OHS_502;Ostholstein;-;Fehmarn;-;81,8;-
PR3_OHS_503;Ostholstein;-;Sierksdorf, Süsel;-;83,3;-
