ID;KreisPot;KreisVor;StadtPot;StadtVor;haPot;haVor
PR1_NFL_090;Nordfriesland;Nordfriesland;Drelsdorf, Högel, Joldelund, Kolkerheide,Löwenstedt, Vollstedt;Drelsdorf, Högel, Joldelund, Vollstedt;477,1;197,8
PR1_NFL_091;Nordfriesland;Nordfriesland;Breklum, Sönnebüll;Breklum, Sönnebüll;18,3;18,3
PR1_NFL_093;Nordfriesland;-;Drelsdorf, Joldelund, Kolkerheide, Norstedt;-;71,7;-
PR1_NFL_094;Nordfriesland;Nordfriesland;Bordelum, Reußenköge;Reußenköge;400,4;303,4
PR1_NFL_095;Nordfriesland;Nordfriesland;Reußenköge;Reußenköge;133,5;120,7
PR1_NFL_096;Nordfriesland;Nordfriesland;Haselund, Löwenstedt, Norstedt, Viöl;Haselund, Löwenstedt, Norstedt, Viöl;510,9;362,7
PR1_NFL_097;Nordfriesland;Nordfriesland;Almdorf, Struckum;Almdorf, Struckum;16,0;16,0
PR1_NFL_098;Nordfriesland;-;Drelsdorf;-;23,1;-
PR1_NFL_099;Nordfriesland;-;Behrendorf, Haselund, Sollwitt, Viöl;-;92,0;-
PR1_NFL_100;Nordfriesland;Nordfriesland;Bredstedt, Breklum, Reußenköge, Struckum;Breklum, Reußenköge, Struckum;349,1;280,8
PR1_NFL_101;Nordfriesland;Nordfriesland;Bohmstedt;Bohmstedt;15,2;15,2
PR1_NFL_102;Nordfriesland;Nordfriesland;Behrendorf, Bondelum, Sollwitt,Süderhackstedt;Behrendorf, Sollwitt, Süderhackstedt;261,7;98,8
PR1_NFL_103;Nordfriesland;Nordfriesland;Reußenköge;Reußenköge;115,1;115,1
PR1_NFL_104;Nordfriesland;Nordfriesland;Behrendorf;Behrendorf;92,1;87,3
PR1_NFL_107;Nordfriesland;Nordfriesland;Bondelum, Sollerup, Treia;Bondelum, Sollerup;80,0;41,7
PR1_NFL_110;Nordfriesland;-;Ahrenviölfeld, Bondelum;-;63,8;-
PR1_NFL_111;Nordfriesland;Nordfriesland;Ahrenviölfeld, Bondelum, Treia;Ahrenviölfeld, Bondelum, Treia;133,5;124,2
PR1_NFL_112;Nordfriesland;Nordfriesland;Ahrenviöl, Ahrenviölfeld;Ahrenviöl, Ahrenviölfeld;90,0;78,0
PR1_NFL_113;Nordfriesland;Nordfriesland;Arlewatt, Horstedt, Olderup, Schwesing;Arlewatt, Horstedt, Olderup,Schwesing;116,4;82,8
