ID;KreisPot;KreisVor;StadtPot;StadtVor;haPot;haVor;Coords;Wetter-ID
PR3_DIT_066;Dithmarschen;Dithmarschen;Albersdorf, Arkebek, Tensbüttel-Röst;Albersdorf;186.5;56,1;[54.1423296, 9.2576434];19172
PR3_DIT_067;Dithmarschen;Dithmarschen;Nordermeldorf, Wöhrden;Nordermeldorf;97.0;76,1;[54.1417925, 9.0093881];1200
PR3_DIT_068;Dithmarschen;Dithmarschen;Epenwöhrden, Hemmingstedt,Nordermeldorf;Epenwöhrden, Nordermeldorf;43.2;39,4;[54.125952, 9.0511613];1200
PR3_DIT_069;Dithmarschen;-;Nordermeldorf;-;17. Sep;-;[54.1168851, 9.0187761];1200
PR3_DIT_070;Dithmarschen;-;Epenwöhrden;-;35.7;-;[54.1103274, 9.0520778];1200
PR3_DIT_071;Dithmarschen;Dithmarschen;Nordermeldorf;Nordermeldorf;73.1;47,5;[54.1168851, 9.0187761];1200
PR3_DIT_073;Dithmarschen;Dithmarschen;Albersdorf, Schafstedt, Tensbüttel-Röst;Albersdorf, Schafstedt, Tensbüttel-Röst;145.0;100,5;[54.1158414, 9.2737759];19172
PR3_DIT_081;Dithmarschen;-;Elpersbüttel;-;30. Jan;-;[54.0733317, 9.0450158];1200
PR3_DIT_082;Dithmarschen;-;Eggstedt;-;14. Feb;-;[54.0522854, 9.2615007];19172
PR3_DIT_083;Dithmarschen;Dithmarschen;Eggstedt, Süderhastedt;Eggstedt, Süderhastedt;228.3;164,5;[54.0519456, 9.2352605];19172
PR3_DIT_084;Dithmarschen;-;Busenwurth, Elpersbüttel;-;257.3;-;[54.0559092, 9.0416263];1200
PR3_DIT_089;Dithmarschen;Dithmarschen;Barlt, Busenwurth, Gudendorf;Barlt, Busenwurth, Gudendorf;138.7;98,4;[54.0254652, 9.0675956];1200
PR3_DIT_091;Dithmarschen;Dithmarschen;Barlt, Trennewurth;Barlt, Trennewurth;98.0;72,3;[54.0062202, 9.0438523];1200
PR3_DIT_095;Dithmarschen;Dithmarschen;Barlt, St. Michaelisdonn, Volsemenhusen;Barlt, St. Michaelisdonn,Volsemenhusen;514.8;459,6;[53.987382, 9.0790694];1200
PR3_DIT_096;Dithmarschen;Dithmarschen;Helse, Trennewurth;Helse, Trennewurth;97.2;97,2;[53.9881179, 9.0215716];1200
PR3_DIT_097;Dithmarschen;Dithmarschen;Helse, Trennewurth, Volsemenhusen;Helse, Trennewurth, Volsemenhusen;142.4;142,4;[53.9808803, 9.035708];1200
PR3_DIT_100;Dithmarschen;Dithmarschen;Kronprinzenkoog;Kronprinzenkoog;76.6;76,6;[53.9708971, 8.9609516];1200
PR3_DIT_102;Dithmarschen;Dithmarschen;Dingen, Eddelak, Volsemenhusen;Dingen, Volsemenhusen;193.0;191,2;[53.9570703, 9.111269];1200
PR3_DIT_103;Dithmarschen;Dithmarschen;Diekhusen-Fahrstedt, Marne, Volsemenhusen;Diekhusen-Fahrstedt, Marne,Volsemenhusen;45.3;36,9;[53.9546792, 9.0317175];1200
PR3_DIT_104;Dithmarschen;Dithmarschen;Diekhusen-Fahrstedt, Schmedeswurth;Diekhusen-Fahrstedt, Schmedeswurth;107.6;93,2;[53.9361579, 9.0303212];1200
PR3_DIT_105;Dithmarschen;-;Brunsbüttel;-;133.0;-;[53.8972549, 9.1395423];1200
PR3_DIT_106;Dithmarschen;Dithmarschen;Brunsbüttel;Brunsbüttel;35.5;35,5;[53.8972549, 9.1395423];1200
PR3_DIT_107;Dithmarschen;Dithmarschen;Brunsbüttel, Ramhusen;Brunsbüttel, Ramhusen;117.8;117,8;[53.9197739, 9.1112229];1200
PR3_DIT_108;Dithmarschen;Dithmarschen;Brunsbüttel;Brunsbüttel;29. Aug;29,8;[53.8972549, 9.1395423];1200
PR3_DIT_109;Dithmarschen;Dithmarschen;Diekhusen-Fahrstedt, Neufeld,Schmedeswurth;Diekhusen-Fahrstedt, Neufeld,Schmedeswurth;144.9;143,5;[53.9274528, 9.0276063];1200
PR3_DIT_110;Dithmarschen;Dithmarschen;Brunsbüttel, Neufeld, Schmedeswurth;Brunsbüttel, Neufeld;330.3;322,6;[53.9113656, 9.0673111];1200
PR3_DIT_111;Dithmarschen;-;Brunsbüttel;-;34.1;-;[53.8972549, 9.1395423];1200
PR3_DIT_112;Dithmarschen;-;Brunsbüttel;-;61.3;-;[53.8972549, 9.1395423];1200
PR3_DIT_134;Dithmarschen;-;Bergewöhrden, Hennstedt, Süderstapel;-;185.8;-;[54.3152276, 9.1920083];1266
PR3_DIT_301;Dithmarschen;-;Lehe;-;139.8;-;[54.3414522, 9.0228629];1266
PR3_DIT_302;Dithmarschen;-;Lehe, St. Annen;-;63.0;-;[54.3452736, 9.0505181];1266
PR3_DIT_303;Dithmarschen;-;Fedderingen;-;52.1;-;[54.2817712, 9.1306333];1266
PR3_DIT_304;Dithmarschen;-;Fedderingen, Stelle-Wittenwurth,Weddingstedt, Wiemerstedt;-;255.2;-;[54.2612874, 9.0969276];1266
PR3_DIT_305;Dithmarschen;-;Dellstedt, Tielenhemme;-;20. Jul;-;[54.2567808, 9.3792138];1266
PR3_DIT_307;Dithmarschen;-;Heide;-;36.8;-;[54.1948456, 9.0929015];1200
PR3_DIT_309;Dithmarschen;-;Bargenstedt, Epenwöhrden, Hemmingstedt,Meldorf, Nindorf, Sarzbüttel;-;974.5;-;[54.1160197, 9.2062805];1200
PR3_DIT_310;Dithmarschen;-;Nordhastedt, Odderade, Sarzbüttel;-;306.6;-;[54.1424959, 9.1855024];1200
PR3_DIT_312;Dithmarschen;-;Elpersbüttel, Krumstedt, Nindorf,Windbergen, Wolmersdorf;-;403.1;-;[54.0796388, 9.230064];19172
PR3_DIT_314;Dithmarschen;-;Frestedt, Krumstedt, Süderhastedt;-;201.7;-;[54.048134, 9.1884298];1200
PR3_DIT_317;Dithmarschen;-;Kaiser-Wilhelm-Koog;-;18.0;-;[53.9432915, 8.9260047];1200
PR3_DIT_401;Dithmarschen;-;Lehe;-;86.4;-;[54.3414522, 9.0228629];1266
PR3_DIT_402;Dithmarschen;-;Groven;-;29.0;-;[54.3135257, 8.9980958];1266
PR3_DIT_403;Dithmarschen;-;Delve, Glüsing, Pahlen, Schalkholz, Wallen;-;204.7;-;[54.2749974, 9.2583626];1266
PR3_DIT_405;Dithmarschen;-;Süderdorf;-;23. Jan;-;[54.2134347, 9.3369528];1266
PR3_DIT_406;Dithmarschen;-;Bunsoh, Offenbüttel;-;24. Mai;-;[54.1669158, 9.3385918];1266
PR3_DIT_407;Dithmarschen;-;Norderwöhrden;-;30. Jul;-;[54.2, 9.01667];788
PR3_DIT_408;Dithmarschen;-;Lohe-Rickelshof;-;17. Apr;-;[54.1877386, 9.0675296];1200
PR3_DIT_409;Dithmarschen;Dithmarschen;Krumstedt, Tensbüttel-Röst;Krumstedt, Tensbüttel-Röst;29.2;28,9;[54.0938745, 9.2094651];1200
PR3_DIT_410;Dithmarschen;-;Krumstedt, Schafstedt;-;32.6;-;[54.0752758, 9.23778];19172
PR3_DIT_411;Dithmarschen;-;Süderhastedt;-;19. Jun;-;[54.0516058, 9.2090204];19172
PR3_DIT_412;Dithmarschen;-;Eggstedt, Holstenniendorf, Schafstedt;-;105.8;-;[54.0607055, 9.2952362];19172
PR3_DIT_413;Dithmarschen;-;Averlak, Buchholz, Burg (Dithmarschen),Kuden;-;203.3;-;[53.9736585, 9.2153483];19172
PR3_DIT_414;Dithmarschen;-;Buchholz, Kuden;-;58.6;-;[53.9777417, 9.2102831];19172
PR3_DIT_415;Dithmarschen;-;Averlak;-;32.3;-;[53.9414553, 9.1841596];19172
PR3_DIT_416;Dithmarschen;-;Volsemenhusen;-;26. Mai;-;[53.966405, 9.0639808];1200
PR3_DIT_417;Dithmarschen;-;Schmedeswurth;-;23. Mrz;-;[53.9267994, 9.0402144];1200
PR3_DIT_418;Dithmarschen;Dithmarschen;Friedrichskoog;Friedrichskoog;27. Apr;27,4;[54.0072866, 8.8841226];1200
PR3_DIT_419;Dithmarschen;Dithmarschen;Kronprinzenkoog;Kronprinzenkoog;15.0;15;[53.9708971, 8.9609516];1200
PR3_DIT_501;Dithmarschen;-;Karolinenkoog;-;25.0;-;[54.2833, 8.96667];788
PR3_DIT_094;Dithmarschen;Dithmarschen;Friedrichskoog, Kronprinzenkoog;Friedrichskoog, Kronprinzenkoog;328.2;317,4;[53.9890919, 8.9225371];1200
PR3_DIT_099;Dithmarschen;Dithmarschen;Friedrichskoog, Kronprinzenkoog;Friedrichskoog, Kronprinzenkoog;72.9;72,9;[53.9890919, 8.9225371];1200
PR3_DIT_101;Dithmarschen;Dithmarschen;Friedrichskoog, Kaiser?Wilhelm?Koog;Friedrichskoog, Kaiser?Wilhelm?Koog;48.5;48,5;[53.9752891, 8.9050636];1200
PR3_LAU_001;Herzogtum Lauenburg;Herzogtum Lauenburg;Bliestorf, Kastorf, Siebenbäumen;Bliestorf, Kastorf, Siebenbäumen;229.9;86,4;[53.755223, 10.5659982];3086
PR3_LAU_002;Herzogtum Lauenburg;-;Rondeshagen;-;28. Jan;-;[53.751837, 10.6288891];3086
PR3_LAU_003;Herzogtum Lauenburg;-;Berkenthin;-;72.2;-;[53.7338071, 10.6391585];3086
PR3_LAU_005;Herzogtum Lauenburg;-;Groß Boden, Schürensöhlen, Steinhorst;-;188.7;-;[53.7453618, 10.4693709];3086
PR3_LAU_006;Herzogtum Lauenburg;Herzogtum Lauenburg;Lasbek, Stubben;Lasbek;131.8;106,2;[53.7356695, 10.3974098];3086
PR3_LAU_009;Herzogtum Lauenburg;-;Buchholz, Einhaus;-;23. Mai;-;[53.8507531, 9.977398];4039
PR3_LAU_011;Herzogtum Lauenburg;-;Düchelsdorf, Göldenitz, Klinkrade, Niendorf bei Berkenthin, Sierksrade;-;156.8;-;[53.723061, 10.5979915];3086
PR3_LAU_012;Herzogtum Lauenburg;-;Behlendorf;-;24. Jun;-;[53.6985833, 10.6685418];3086
PR3_LAU_013;Herzogtum Lauenburg;-;Kulpin;-;42.6;-;[53.7091424, 10.6957205];3086
PR3_LAU_014;Herzogtum Lauenburg;-;Schiphorst, Stubben;-;76.8;-;[53.7207973, 10.4469459];3086
PR3_LAU_015;Herzogtum Lauenburg;-;Sandesneben, Schiphorst, Steinhorst;-;114.7;-;[53.7049664, 10.480889];3086
PR3_LAU_017;Herzogtum Lauenburg;-;Behlendorf;-;31. Aug;-;[53.6985833, 10.6685418];3086
PR3_LAU_018;Herzogtum Lauenburg;-;Duvensee, Kühsen, Niendorf bei Berkenthin;-;62.6;-;[53.6941697, 10.6032491];3086
PR3_LAU_019;Herzogtum Lauenburg;-;Behlendorf;-;40.4;-;[53.6985833, 10.6685418];3086
PR3_LAU_020;Herzogtum Lauenburg;-;Fredeburg, Giesensdorf, Ratzeburg;-;22. Aug;-;[53.6818829, 10.7380485];1736
