KREIS;GEMEINDE;TYP;MODELL;HERSTELLER;NABENHOEHE;ROTORDURCHMESSER;SCHALLLEISTUNGSPEGEL;LEISTUNG;LEISTUNGSBEZUG;OSTWERT (EPSG:4647);NORDWERT (EPSG:4647);GENEHMIGT_AM;INBETRIEBNAHME;STATUS;BST_NR;ANL_NR;DATENDATUM;DATENQUELLE;BETREIBER;Coords;Wetter-ID
HH;Altengamme;Enercon E-40/5.40;Enercon E-70 E4/2000;Enercon;;;;500.0;kW Nennleist. Rotor.;32583682.0;5923688.0;;1997.0;;;;;;NET OHG;[53.4443479, 10.2737961];1975
HH;Altengamme;Enercon E-40/5.40;Enercon E-70 E4/2000;Enercon;;;;500.0;kW Nennleist. Rotor.;32583682.0;5923688.0;;1997.0;;;;;;NET OHG;[53.4443479, 10.2737961];1975
HH;Altengamme;Senvion MM100;Enercon E-70 E4/2000;Senvion;;;;2000.0;kW Nennleist. Rotor.;32583682.0;5923688.0;;2017.0;;;;;;NET OHG;[53.4443479, 10.2737961];1975
HH;Altengamme;Senvion MM100;Enercon E-70 E4/2000;Senvion;;;;2000.0;kW Nennleist. Rotor.;32583682.0;5923688.0;;2017.0;;;;;;NET OHG;[53.4443479, 10.2737961];1975
HH;Altengamme;Senvion MM100;Enercon E-70 E4/2000;Senvion;;;;2000.0;kW Nennleist. Rotor.;32583682.0;5923688.0;;2017.0;;;;;;NET OHG;[53.4443479, 10.2737961];1975
HH;Altengamme;Senvion MM100;Enercon E-70 E4/2000;Senvion;;;;2000.0;kW Nennleist. Rotor.;32583682.0;5923688.0;;2017.0;;;;;;NET OHG;[53.4443479, 10.2737961];1975
HH;Altengamme;Senvion MM100;Enercon E-70 E4/2000;Senvion;;;;2000.0;kW Nennleist. Rotor.;32583682.0;5923688.0;;2017.0;;;;;;NET OHG;[53.4443479, 10.2737961];1975
HH;Altengamme;Senvion MM100;Enercon E-70 E4/2000;Senvion;;;;2000.0;kW Nennleist. Rotor.;32583682.0;5923688.0;;2017.0;;;;;;NET OHG;[53.4443479, 10.2737961];1975
HH;Curslack;Nordex N117/3000;Enercon E-70 E4/2000;Nordex;;;;3000.0;kW Nennleist. Rotor.;32580204.0;5925359.0;;2017.0;;;;;;HAW Hamburg;[53.4544102, 10.2345966];1975
HH;Curslack;Nordex N117/2400;Enercon E-70 E4/2000;Nordex;;;;2400.0;kW Nennleist. Rotor.;32580204.0;5925359.0;;2017.0;;;;;;HAW Hamburg;[53.4544102, 10.2345966];1975
HH;Curslack;Nordex N117/2400;Enercon E-70 E4/2000;Nordex;;;;2400.0;kW Nennleist. Rotor.;32580204.0;5925359.0;;2017.0;;;;;;HAW Hamburg;[53.4544102, 10.2345966];1975
HH;Curslack;Nordex N117/2400;Enercon E-70 E4/2000;Nordex;;;;2400.0;kW Nennleist. Rotor.;32580204.0;5925359.0;;2017.0;;;;;;HAW Hamburg;[53.4544102, 10.2345966];1975
HH;Curslack;Nordex N117/2400;Enercon E-70 E4/2000;Nordex;;;;2400.0;kW Nennleist. Rotor.;32580204.0;5925359.0;;2017.0;;;;;;HAW Hamburg;[53.4544102, 10.2345966];1975
HH;Dradenau;Nordex N117/2400;Enercon E-70 E4/2000;Nordex;;;;2400.0;kW Nennleist. Rotor.;32560514.0;5930784.0;;2013.0;;;;;;Hamburg Energie, Eurogate;[53.5255026, 9.8994663];4039
